print_id,batch,spec,measured,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,mass_g,ok,t180,t1000,in_180_g,out_180_g,e_rebound,e_reb_mJ,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,fn_hz,zeta_pct,ringdown_r2,ringdown_dominant_frac,fn_flex_hz,zeta_flex_pct,ringdown_flex_r2,flex_dominant_frac
ghmj4y,1,8,False,30.171,104.864,63.7624,6.445,3.324,22.1,True,0.9519492945456194,0.9586158451822488,207.56242437038466,197.58890345356616,0.6179857094238398,204.1156708384043,0.1608358805222067,76.90377967191257,40.923522903636325,165.66422556228355,1.493225082619316,0.9081479695603316,0.9769684832484601,165.829125820785,1.5084956836265218,0.928231735275913,0.9998309557538256
bpx68c,1,S0,True,28.846,80.769,60.0,6.923,3.462,20.23,True,0.7497310393139974,0.781450442867647,207.62082686309714,155.65977830730134,0.6157574981538578,186.17065827111043,0.14258550477128137,95.26958589693756,48.38024958371091,237.73935557857564,1.5434757938024857,0.835178993526554,0.7981400004940508,237.65889492904108,1.5368083063270805,0.8435682979744733,0.9993758122620209
r2d2c1,2,3,True,20.912,92.0129,40.0,5.0189,4.6006,19.38,True,0.9927793662593153,0.9931901238317198,207.73473039451866,206.23475399111996,0.6149209349669306,178.10605905462444,0.1280717434420656,34.62540521064186,20.20960003681588,162.2463440908019,2.5339347241950616,0.9506175412117094,0.9969070785421091,162.71515581721877,2.8652493000142636,0.9461397327336865,0.9998694341045402
r2d2c2,2,2,True,27.6777,76.1138,40.0,8.3033,3.8057,17.96,True,0.46502889909325856,0.5089126257744404,208.2664077737815,96.84989832514928,0.613090887280946,164.5647581732182,0.15077571623910266,96.1383573930242,40.71908237491997,20.678006840767633,26.923453067242807,0.9294036569115973,0.5350709936151558,355.46413219640317,2.3576124231946305,0.5616772789943509,0.9108996666100387
r2d2c3,2,6,True,23.4189,48.777,80.0,9.7554,4.4712,18.63,True,0.44950054769973385,0.5089809164883812,208.1883359165337,93.58077101917807,0.6141800630280126,171.00712756320897,0.1132973568375719,79.5887633612165,60.964513500489396,79.43423659873484,22.80138193437702,0.8762147431862675,0.8011552667171635,197.7019791719143,6.483556450138285,0.7041758843665694,0.896723361404507
r2d2c4,2,1,False,23.4446,56.267,80.0,5.6267,5.1578,19.33,True,0.8655520813148271,0.9224459835588612,207.438959543318,179.5492231785011,0.615101983746691,177.69885288101506,0.07005907833477817,42.16131167666098,51.29337648745689,244.0752353233177,0.8877994890788995,0.6324114184712439,0.9116074254478294,244.12139609779464,0.8633254462347626,0.6520999458484327,0.9988746067075485
r2d2c5,2,8,False,22.4982,69.4538,40.0,5.3996,4.9496,23.47,True,0.7838580578552108,0.801493757666705,207.48601750097265,162.6395867104247,0.6120732607606046,214.6951033313833,0.12026504585359624,61.865904022839224,28.077048161639194,204.84459887342595,2.6670930784235236,0.8184995673642663,0.9159058277143746,204.76610316034288,2.612603416933207,0.845792170683564,0.9983045618448023
r2d2c6,2,4,False,23.3282,55.9876,80.0,11.1975,2.7994,19.11,True,0.4939375659740647,0.5194313056790973,208.11860364127077,102.7975965164904,0.6159149907648697,175.9086129390359,0.254434092098865,180.07270554411417,61.8095725215445,38.38847639091205,11.706831078257418,0.5852927038196215,0.6611312646089821,214.8422449677898,4.884694974543361,0.3879281968518229,0.9054375067420749
r2d2c7,2,5,False,30.8548,46.2822,80.0,9.2564,4.2425,18.51,True,0.3175696407609169,0.381014628453315,208.40874581812466,66.18429054089509,0.612878729707483,169.54563394382095,0.11231078370485685,113.19971132138313,117.60566084958681,32.27449607413813,24.63785442592343,0.8891207242279752,0.6727278797007908,164.22986767115177,0.8677177206292771,0.06575779683685212,0.8424975022846212
r2d2c8,2,7,False,31.7098,87.2019,80.0,4.7565,4.3601,19.98,True,0.9002486512104765,0.8957234278005268,208.2596982443499,187.48551244597684,0.6132968079407208,183.13520155564447,0.1080798204150567,70.12662326155426,52.23898773279048,120.55199064912514,8.016742082442489,0.62371945710331,0.9459026126741229,150.00000000000003,6.957518488364496,0.35881027131958687,0.9592322694199584
r2d2c9,2,0,False,20.9625,50.3099,40.0,10.062,4.6117,17.91,True,0.7297873794737955,0.7271448536224162,208.40385672487227,152.09050447147686,0.6106463277175113,163.4522781878903,0.14195843005832484,109.39356427779599,35.58467941471444,20.898800983035333,32.87464957956937,0.9012570010369831,0.7872574444186984,150.00000000000003,13.455740586464715,0.53379294768929,0.6648293373429792
