signal,arrangement,input_raw_G,output_raw_G,T_raw,input_CFC1000_G,output_CFC1000_G,T_CFC1000,input_CFC180_G,output_CFC180_G,T_CFC180,pulse_FWHM_ms,FWHM_left_truncated,captured_delta_v_0_12ms_m_s,CFC180_t0_fraction
12,B,515.4749400000001,459.2149285642409,0.8908579116653873,345.8101162541168,362.63583610728966,1.0486559503678852,252.94610056262934,265.78382079305345,1.0507527896333215,2.142959162514229,False,5.2361653329752995,0.2386684612847181
13,B,515.81038,431.8322385259314,0.837191834964491,342.97665586423216,357.60887960866853,1.0426624479953777,251.55922531632712,264.7048830754381,1.0522567110889325,2.1219996121450473,False,5.164387255037564,0.21749909478210017
14,B,566.86096,425.09150138977304,0.749904352894179,337.5080062723274,350.224300121401,1.0376770139159694,249.44835035777047,264.0776506612705,1.058646610741334,2.1390027641217197,False,5.153476049063689,0.23101462632325886
15,B,542.8660600000001,423.9046420014734,0.7808641453869364,328.83244622950326,345.0578065481322,1.0493423337771988,245.14305095512393,262.5032038024196,1.0708164183306734,2.1391432300629316,False,5.063192877909158,0.22392404970907526
16,B,538.08077,424.6062755672177,0.7891125259265773,319.79045205475444,337.745627372045,1.0561466898149177,240.98289336042993,260.3648328179201,1.0804286942828811,2.14269632211646,False,4.984908859678421,0.21565256887348044
17,B,520.29959,388.54993010115396,0.7467811575656902,317.03657627177665,331.7824767961673,1.046511669718985,241.2480804070507,258.0448504351935,1.0696244712074066,2.138760212054756,False,4.994385804171968,0.1835393603092404
18,B,522.57123,382.8963984218338,0.732716185737653,313.21210302143913,324.39585696119656,1.0357066468117673,239.44528615952783,249.91175856691282,1.0437113320343747,2.1634497273837927,False,5.005298099834909,0.21036832165182315
19,B,480.65208,360.7497468617887,0.7505423608315368,308.6003177134261,315.693153957691,1.0229838915812506,236.44776603589054,249.66775664060737,1.0559108289596195,2.1788772175263924,False,4.971248734042488,0.22256004673605
20,B,490.63009,372.6137872448443,0.7594597128049042,309.3044508456787,316.6417943596764,1.0237220754306524,237.67816750872166,255.46700460185744,1.0748442201469053,2.1450239380402683,False,4.943065971464082,0.16681838701267993
22,C,297.404067,304.31071468714356,1.0232231110919663,176.71496428317005,198.54836634337127,1.1235515178285362,168.7561069142069,174.92616766110785,1.0365619997979554,3.2431519469041294,False,5.254464515921979,0.20692266350436078
23,C,306.193378,306.9650868869795,1.0025203317329074,176.92717539536417,199.4847089199036,1.1274961490462503,169.3746691450397,175.5980342174413,1.0367431865922783,3.241156951487925,False,5.269892655881709,0.20164088718250156
24,C,304.751422,307.28043508723584,1.0082986096361377,178.36489810119224,201.92359241383718,1.1320814496767146,170.64605468818405,176.07150248219375,1.0317935729831167,3.251855064377361,False,5.331874944398965,0.2092611987600982
25,C,289.928485,297.98935956856053,1.0278029755115663,177.06525428324696,207.05216451451994,1.1693551360635874,167.53252379421014,178.84008792036767,1.0674947399470163,3.1778994167685517,False,5.141377749281325,0.16361397250724724
26,C,286.940893,294.9300853633577,1.0278426413183208,174.7615300894164,203.75641435072964,1.1659111375740305,166.32475246995384,176.856089039336,1.0633179151809329,3.223548880740608,False,5.183785063054201,0.17035221113113963
27,C,266.979265,296.25874352384375,1.1096694850959445,171.9658208912843,194.26140958475054,1.1296512794106996,163.20539555764975,173.3518214393808,1.0621696718240359,3.32079434701457,False,5.2649661469434,0.17186190640358703
28,C,249.687757,293.38573390487153,1.1750104908222294,169.9296676362559,192.5633964011157,1.133194686246951,162.95090475826902,172.69155562377009,1.0597765988470633,3.3746650748657863,False,5.341402283134874,0.18413669520171067
29,C,234.71957300000003,289.60338045566664,1.2338271442563786,173.56326545915394,194.15712298479303,1.1186533191292463,165.9027090524809,174.17132706635104,1.0498401627140066,3.345538177052647,False,5.387565808423644,0.18188324647778065
30,C,243.588799,289.70239210518605,1.1893091689539717,177.002698785031,199.36240749011,1.1263241117709442,167.90489770953045,175.7478474365679,1.0467106667764121,3.3198272895348033,False,5.409193377842819,0.18413801904728508
31,C,241.95202500000002,284.69567655612906,1.1766616814061757,179.2821749269772,202.29539236934164,1.1283631094487663,170.25541557061138,177.45969834197368,1.0423145586718467,3.28038768758291,False,5.41418143978218,0.178977832237259
32,D,202.85279,279.7861348557382,1.3792570210926762,160.8833361308736,199.91876520964064,1.2426318972339865,154.9330528928003,176.40534555254436,1.1385907800745458,3.1864495558310755,False,4.720119276428982,0.1578277138558741
33,D,212.63832,291.9992042669316,1.373220049269255,178.95236433142358,210.52324769967746,1.1764205993377317,167.79460914757453,183.01010314094293,1.0906792779021073,3.177190028591316,False,5.118330482161893,0.17341501337016546
34,D,244.66723999999996,301.69887587670036,1.2330987829702922,174.1702043515312,203.5062602240121,1.1684332632077032,168.32942975669403,182.60439299105246,1.0848037283497705,3.214030759733788,False,5.200238663883192,0.17513389206521685
35,D,209.10597,285.33497754306603,1.3645472558390659,169.56579047899558,203.12587522395737,1.1979177795837241,162.2225990364248,178.95838067122727,1.1031655375651124,3.208590904540212,False,4.99162145184397,0.17381477340111168
36,D,215.70013,284.70603860153255,1.3199159342255962,181.28640839303642,214.61590627947152,1.1838499542347123,168.1111671981115,184.81774260627705,1.0993781417773252,3.13088393224984,False,5.067683901358291,0.16106771874940431
37,D,215.28593999999998,281.6417705889262,1.308221849457174,179.9056128469876,216.75139792758893,1.20480620086011,166.4404723059222,184.35089405496961,1.10760857320885,3.1059267256086147,False,4.982054010549141,0.14430793484443968
38,D,215.76991,279.6553080419353,1.2960811266127668,179.93788476986077,212.74703408923713,1.1823359731128273,166.4556946148421,183.09883568880144,1.0999854112078864,3.1096929988542996,False,4.994800034083766,0.15321702308157714
39,D,224.38814,290.47632896025675,1.2945262123045218,183.5227414489425,214.3223829449211,1.1678246589649344,170.15484034006897,185.05382756799602,1.087561348229355,3.122546258749327,False,5.118010545915712,0.1454049164551193
40,D,215.23972,279.9631016311853,1.300703706691243,183.01106994572845,213.13913863043234,1.1646242967359204,168.4474559285415,184.70081583264712,1.0964891978600175,3.0481393450680043,False,4.952267657926737,0.13337056867260588
41,D,240.245589,292.9943207603115,1.2195617075837821,194.44712021629243,214.41344941567235,1.1026825657133439,180.4409925034703,185.79929623965046,1.0296956011039293,3.1532844568121803,False,5.492786163484151,0.17401455115252207
