family,target,predictor,rel_span,n,rho,p,r,q
design,e_reb_mJ,mass_g,0.2786388791443238,35,0.0946778711484594,0.5822208889555522,-0.051146460505355214,0.776294518607403
design,e_reb_mJ,geom_cell_mass_g,0.33926011265138983,35,0.07254901960784314,0.6779661016949152,-0.08063949634879768,0.8747949699289229
design,e_reb_mJ,tierC_stroke_mm,2.056775394915675,35,0.05826330532212886,0.735413229338533,0.23865085751492543,0.9192665366731663
design,e_reb_mJ,geom_footprint_mm2,1.397060761291732,35,0.03165266106442577,0.8553572321383931,0.12621033395438588,0.9889005549722514
design,e_reb_mJ,nom_twist_deg,0.7081209792321774,35,-0.02868557595614154,0.8692065396730163,0.14723544757835977,0.9889005549722514
design,e_reb_mJ,lander_eta,0.0016259523159375467,35,-0.01596638655462185,0.9273036348182591,0.133198956206863,0.9889005549722514
design,e_reb_mJ,tierB_zeta_pct,2.933460624354281,35,0.010924369747899159,0.9490025498725064,0.011458137468050855,0.9889005549722514
design,e_reb_mJ,lander_F_base_peak_N,0.011061116804804755,35,-0.00980392156862745,0.9544522773861307,-0.015645864299697113,0.9889005549722514
design,e_reb_mJ,crutch_eta,0.02494481909895511,35,-0.00392156862745098,0.9829008549572521,-0.09687156518855668,0.9889005549722514
design,e_reb_mJ,nom_strut_d_mm,0.6475479671156641,35,-0.00284550415744604,0.9886505674716264,0.06268183908014648,0.9889005549722514
design,e_reb_mJ,crutch_SEA_J_per_cm3,4.445642688446959,35,-0.002240896358543417,0.9889005549722514,-0.1540639836920015,0.9889005549722514
design,e_rebound,tierC_e_rebound,0.013232835329855704,35,-0.47366946778711494,0.004149792510374482,-0.6324294847325044,0.048397580120993954
design,e_rebound,tierB_t1000,0.9651602330746786,35,-0.473109243697479,0.0047997600119994,-0.42410878223615994,0.048397580120993954
design,e_rebound,tierC_in_180_g,0.0037223177083897294,35,0.4672268907563025,0.005299735013249337,0.5531243183114064,0.048397580120993954
design,e_rebound,tierB_t180,1.0957306187649942,35,-0.461344537815126,0.005299735013249337,-0.42903992671142505,0.048397580120993954
design,e_rebound,tierB_out_180_g,1.0924197302885574,35,-0.461344537815126,0.006049697515124244,-0.4290715883353106,0.048397580120993954
design,e_rebound,tierB_fn_flex_hz,1.1583828404822096,35,0.45070028011204477,0.008199590020498975,0.4320889412092047,0.054663933469993174
design,e_rebound,tierC_peak_tendon_energy_mJ,2.073695092376502,35,0.4064425770308124,0.01629918504074796,0.6097374748177133,0.09313820023284548
design,e_rebound,tierC_peak_tendon_strain,1.298319826022862,35,0.3904761904761905,0.020048997550122495,0.49433273756258306,0.10024498775061247
design,e_rebound,nom_R_mm,0.49274884872751123,35,0.38445238510219953,0.022848857557122144,0.4657119870820638,0.10155047803165397
design,e_rebound,geom_envelope_cm3,2.0953123650499865,35,0.36190476190476195,0.03344832758362082,0.41506858889404963,0.13379331033448327
design,e_rebound,tierC_t1000,0.3710039842746253,35,-0.3411764705882353,0.044897755112244385,-0.31850387572698724,0.16326456404452505
