family,target,predictor,rel_span,n,rho,p,r,q
article,fn_hz,tierB_stroke_mm,2.3276917649252975,35,0.5644257703081234,0.00034998250087495624,0.6423533388245877,0.007349632518374081
article,fn_hz,tierC_e_rebound,0.01323055213175547,35,-0.5184873949579831,0.0012999350032498376,-0.5650222743707289,0.008662066896655166
article,fn_hz,tierC_peak_tendon_strain,1.3488112052467567,35,0.5260504201680674,0.0014999250037498126,0.5021349712916177,0.008662066896655166
article,fn_hz,tierC_peak_tendon_energy_mJ,2.186489297715359,35,0.5165266106442578,0.0016499175041247937,0.6283448683165401,0.008662066896655166
article,fn_hz,tierB_e_rebound,0.011715930535555124,35,0.4512605042016807,0.006999650017499125,0.3604279316651438,0.027473626318684066
article,fn_hz,tierC_t180,0.36350175685084946,35,-0.44201680672268917,0.007849607519624019,-0.5554225053311469,0.027473626318684066
article,fn_hz,tierC_out_180_g,0.360164672298235,35,-0.43613445378151267,0.009949502524873756,-0.5519949825069548,0.029848507574621267
article,fn_hz,tierC_in_180_g,0.0037222428189775158,35,0.3932773109243698,0.022048897555122245,0.524967529931639,0.057878356082195895
article,fn_hz,tierC_t1000,0.36744543376831496,35,-0.3722689075630252,0.03149842507874606,-0.526267972743836,0.0734963251837408
article,fn_hz,tierC_tpu_fraction,1.7175112663559855,35,-0.33062483785905716,0.05559722013899305,-0.35334534148793945,0.11164441777911105
article,fn_hz,tierB_t180,1.122871145289568,35,-0.31764705882352945,0.0631968401579921,-0.27358309674395836,0.11164441777911105
article,fn_hz,tierB_out_180_g,1.1192822088929961,35,-0.31764705882352945,0.06379681015949203,-0.27396497732561276,0.11164441777911105
article,fn_hz,tierB_t1000,0.989954940985581,35,-0.30756302521008405,0.06934653267336634,-0.26854020997920813,0.11202132201082254
article,fn_hz,tierB_peak_tendon_energy_mJ,2.173909867910325,35,0.2994397759103642,0.07874606269686515,0.21010999182223308,0.11811909404529773
article,fn_hz,tierB_zeta_flex_pct,3.884256813116177,35,-0.19915966386554623,0.24768761561921904,0.02150652824433414,0.3467626618669067
article,fn_hz,tierB_peak_tendon_strain,2.2197756111306735,35,0.17366946778711484,0.3143342832858357,0.11454041474674222,0.41256374681265934
article,fn_hz,tierC_pulse_ms,0.0049211497595346215,35,-0.16169041669088868,0.36448177591120445,-0.13106297402432188,0.44430278486075697
article,fn_hz,tierB_fn_flex_hz,1.4779573284079852,35,0.15070028011204484,0.3808309584520774,0.009053444309500749,0.44430278486075697
article,fn_hz,tierB_fn_hz,2.783005682756499,35,-0.08683473389355742,0.6127693615319234,-0.17448567859145456,0.6772713995879154
article,fn_hz,tierC_stroke_mm,2.002305344488734,35,0.050140056022408966,0.7781110944452777,0.40352245086691035,0.8170166491675415
article,fn_hz,tierB_zeta_pct,3.1180847688716637,35,-0.03081232492997199,0.8577571121443928,-0.1623047455650581,0.8577571121443927
article,t180,tierC_e_rebound,0.01323055213175547,44,0.6081747709654686,4.999750012499375e-05,0.6181060134931986,0.0010499475026248687
article,t180,tierC_peak_tendon_energy_mJ,2.186489297715359,44,-0.6011275546159267,9.99950002499875e-05,-0.5927407377973283,0.0010499475026248687
article,t180,tierC_peak_tendon_strain,1.3488112052467567,44,-0.5622269203664553,0.000199990000499975,-0.587929370457569,0.001399930003499825
article,t180,tierB_stroke_mm,2.3276917649252975,44,-0.503030303030303,0.00044997750112494374,-0.5060436161451414,0.0020998950052497373
article,t180,tierC_t180,0.36350175685084946,44,0.49767441860465117,0.0004999750012499375,0.5003299041243134,0.0020998950052497373
article,t180,tierB_zeta_flex_pct,3.884256813116177,44,0.4968287526427061,0.0007499625018749063,0.2731729814998443,0.0023998800059997
article,t180,tierC_out_180_g,0.360164672298235,44,0.48104298801973217,0.0007999600019999,0.49644196560043036,0.0023998800059997
article,t180,tierC_in_180_g,0.0037222428189775158,44,-0.4926004228329809,0.0011499425028748563,-0.49480403709922277,0.0030185990700464975
article,t180,tierB_peak_tendon_energy_mJ,2.173909867910325,44,-0.4686398872445384,0.001399930003499825,-0.29138830912841024,0.0032665033414995912
article,t180,tierC_tpu_fraction,1.7175112663559855,44,0.4679426410064747,0.0016999150042497876,0.33437209345096625,0.003569821508924554
article,t180,tierC_t1000,0.36744543376831496,44,0.4514446793516561,0.0019499025048747563,0.4813628608931636,0.003722541145669989
article,t180,tierB_e_rebound,0.011715930535555124,44,-0.41522198731501053,0.005449727513624319,-0.3103304591964637,0.009537023148842558
article,t180,tierB_peak_tendon_strain,2.2197756111306735,44,-0.38886539816772375,0.010149492525373732,-0.29244229754385537,0.016395334079449875
article,t180,tierB_t180,1.122871145289568,44,0.3763213530655391,0.011549422528873556,0.1689900718861027,0.017324133793310333
article,t180,tierB_out_180_g,1.1192822088929961,44,0.3763213530655391,0.012599370031498426,0.16880772563176094,0.017639118044097797
article,t180,tierB_fn_flex_hz,1.4779573284079852,44,-0.3494009866102889,0.020848957552122394,-0.25421984576206086,0.027364256787160642
article,t180,tierB_t1000,0.989954940985581,44,0.34080338266384774,0.022898855057247137,0.1516505710695749,0.02828682095306999
article,t180,tierC_pulse_ms,0.0049211497595346215,44,0.1841378034269897,0.23618819059047047,0.23251890044044124,0.27555288902221553
article,t180,tierB_zeta_pct,3.1180847688716637,44,0.12417195207892881,0.4220788960551972,0.228812671642623,0.4665082535346916
article,t180,tierC_stroke_mm,2.002305344488734,44,-0.1051444679351656,0.503524823758812,-0.17797572114914295,0.5287010649467526
article,t180,tierB_fn_hz,2.783005682756499,44,-0.030725863284002817,0.8437578121093945,0.0367298578022166,0.8437578121093944
article,zeta_pct,tierB_peak_tendon_strain,2.2197756111306735,35,0.4890756302521009,0.0034498275086245686,0.44985151244987936,0.07244637768111595
article,zeta_pct,tierC_tpu_fraction,1.7175112663559855,35,-0.39913142502561616,0.017399130043497826,-0.38371243893010043,0.10856457177141143
article,zeta_pct,tierC_peak_tendon_strain,1.3488112052467567,35,0.39551820728291315,0.0183990800459977,0.3919032038249873,0.10856457177141143
article,zeta_pct,tierC_out_180_g,0.360164672298235,35,-0.3826330532212886,0.02454877256137193,-0.27104923342312953,0.10856457177141143
article,zeta_pct,tierC_t180,0.36350175685084946,35,-0.3831932773109244,0.025848707564621768,-0.2716413121118543,0.10856457177141143
article,zeta_pct,tierC_t1000,0.36744543376831496,35,-0.3633053221288516,0.034098295085245735,-0.2800387992467945,0.11934403279836008
article,zeta_pct,tierB_fn_flex_hz,1.4779573284079852,35,0.3204481792717087,0.06034698265086746,0.3191113182530561,0.16122527206972984
article,zeta_pct,tierB_zeta_flex_pct,3.884256813116177,35,-0.3190476190476191,0.06589670516474176,-0.2829580303538559,0.16122527206972984
article,zeta_pct,tierC_stroke_mm,2.002305344488734,35,-0.31232492997198885,0.06909654517274136,-0.24039833957527126,0.16122527206972984
article,zeta_pct,tierB_peak_tendon_energy_mJ,2.173909867910325,35,0.23389355742296922,0.18049097545122744,0.24043907458720384,0.37035148242587873
article,zeta_pct,tierB_t1000,0.989954940985581,35,-0.21792717086834737,0.21003949802509875,-0.13771882574403005,0.37035148242587873
article,zeta_pct,tierC_peak_tendon_energy_mJ,2.186489297715359,35,0.2030812324929972,0.23743812809359532,0.2122072965989546,0.37035148242587873
article,zeta_pct,tierB_e_rebound,0.011715930535555124,35,0.192436974789916,0.26088695565221737,0.20888699794118337,0.37035148242587873
article,zeta_pct,tierB_t180,1.122871145289568,35,-0.19411764705882356,0.2631868406579671,-0.14446408604321234,0.37035148242587873
article,zeta_pct,tierB_out_180_g,1.1192822088929961,35,-0.19411764705882356,0.26453677316134194,-0.14427324518045154,0.37035148242587873
article,zeta_pct,tierC_in_180_g,0.0037222428189775158,35,0.1761904761904762,0.3136843157842108,0.10876854246205361,0.4117106644667767
article,zeta_pct,tierC_e_rebound,0.01323055213175547,35,-0.16554621848739498,0.33553322333883306,-0.23113326806212356,0.41448221706561733
article,zeta_pct,tierB_zeta_pct,3.1180847688716637,35,0.08319327731092437,0.6311184440777962,0.14646019861305454,0.7363048514240955
article,zeta_pct,tierB_stroke_mm,2.3276917649252975,35,0.07394957983193277,0.6746162691865407,0.11187388686566549,0.7456285080482818
article,zeta_pct,tierB_fn_hz,2.783005682756499,35,0.06358543417366948,0.7177641117944102,0.01620151119565519,0.7536523173841307
article,zeta_pct,tierC_pulse_ms,0.0049211497595346215,35,-0.020211302086361085,0.9216039198040098,0.020518277044489323,0.9216039198040098
