design,batch,geom_cell_mass_g,geom_envelope_cm3,geom_footprint_mm2,crutch_F_peak_N,crutch_SEA_J_per_g,crutch_SEA_J_per_cm3,crutch_eta,crutch_cell_mass_g,crutch_envelope_cm3,crutch_footprint_mm2,crutch_F_base_peak_N,lander_F_peak_N,lander_SEA_J_per_g,lander_SEA_J_per_cm3,lander_eta,lander_cell_mass_g,lander_envelope_cm3,lander_footprint_mm2,lander_F_base_peak_N
trial10,r2d2c,21.766073955634493,79.69520393089131,261.4554891705341,736.6009678839175,0.0008343288858877358,0.00022786897250808613,0.9702813980103753,21.766073955634493,79.69520393089131,261.4554891705341,35.53828007086384,4741.706789168758,0.0024502317318403246,0.0006691986776258999,0.7335046708702585,21.766073955634493,79.69520393089131,261.4554891705341,4811.52171149399
trial11,r2d2c,22.702945139792874,128.81874047813994,192.4242048663052,736.6286283972687,0.0023626104136909016,0.0004163851812992232,0.9760416443693035,22.702945139792874,128.81874047813994,192.4242048663052,30.93697034506941,4774.634069493706,0.006731291538526571,0.0011863191795843844,0.7332954869761118,22.702945139792874,128.81874047813994,192.4242048663052,4831.816527332881
trial12,r2d2c,25.07249558219725,85.46156279236946,273.91120032526317,736.9255067553647,0.0008011953618391305,0.00023505265424402118,0.967450172837032,25.07249558219725,85.46156279236946,273.91120032526317,38.31555678704455,4737.747432352391,0.0023082234108024514,0.0006771807041566994,0.7333952978568492,25.07249558219725,85.46156279236946,273.91120032526317,4822.237144514649
trial13,r2d2c,20.72163968329839,153.42429207028792,153.94170547912842,736.8411209681154,0.00047207111460272186,6.375840103084339e-05,0.9786609570912644,20.72163968329839,153.42429207028792,153.94170547912842,27.461024259404773,4754.110210763446,0.0021124743839899696,0.0002853129216668233,0.733304157170837,20.72163968329839,153.42429207028792,153.94170547912842,4817.14269151714
trial14,r2d2c,26.374774647859557,63.99147231028496,225.8734769817566,737.0636009585251,0.0006378407655377829,0.0002628929425268655,0.9733372225431415,26.374774647859557,63.99147231028496,225.8734769817566,36.03413853666816,4752.071102602579,0.0030010834427488804,0.0012369288694925446,0.7334557091948024,26.374774647859557,63.99147231028496,225.8734769817566,4822.063807146344
trial15,r2d2c,27.069943227172924,200.07966904272405,258.0908434385393,719.0683247815784,0.0020340391535123878,0.00027519699862992914,0.991876251524886,27.069943227172924,200.07966904272405,258.0908434385393,25.975647116402545,4760.219810642786,0.004961566854501818,0.000671279264463934,0.733645778296185,27.069943227172924,200.07966904272405,258.0908434385393,4824.550080718713
trial16,r2d2c,23.894581892716342,60.97262074237241,218.7331332517862,736.9930824221861,0.000669254665625677,0.00026227444745149405,0.9750855733872232,23.894581892716342,60.97262074237241,218.7331332517862,34.260526505766435,4758.180457506971,0.0031035522649911335,0.0012162521940379772,0.733221533138736,23.894581892716342,60.97262074237241,218.7331332517862,4837.133087611355
trial17,r2d2c,25.135679177069584,168.6705054293913,153.75131318334843,737.1561933393876,0.00029660320237731255,4.420051341441264e-05,0.9760717832171419,25.135679177069584,168.6705054293913,153.75131318334843,31.070365698139565,4755.690223304452,0.001257901226935958,0.00018745542735057745,0.7324622960920603,25.135679177069584,168.6705054293913,153.75131318334843,4823.27125505416
trial18,r2d2c,26.663862446641076,118.61777617963193,85.21930413539683,736.7380534453342,0.00018990322354269304,4.2687981462811894e-05,0.9877505830457255,26.663862446641076,118.61777617963193,85.21930413539683,18.93915184495926,4778.928843490364,0.0016349709599561035,0.0003675219868774438,0.7329685926373475,26.663862446641076,118.61777617963193,85.21930413539683,4841.49182406281
trial28,drran,21.719614501522884,94.50701143753905,73.23199737673445,736.4872601467545,0.0001560409043329116,3.586134231765212e-05,0.9904211669196243,21.719614501522884,94.50701143753905,73.23199737673445,14.766895522370767,4784.947166428352,0.0015427731882852922,0.00035456034851962393,0.7329634151613946,21.719614501522884,94.50701143753905,73.23199737673445,4847.239454848166
trial29,drran,28.863580758058234,185.99555633900474,164.1106155821312,737.3132838736863,0.00028913751983124274,4.486958891976288e-05,0.9736090698183901,28.863580758058234,185.99555633900474,164.1106155821312,33.930002229340545,4749.844382300721,0.0011618748379221817,0.00018030467434393204,0.732624620523714,28.863580758058234,185.99555633900474,164.1106155821312,4807.659937342596
trial30,drran,21.098180862310866,91.80267956749479,71.82800867924875,736.4405472149305,0.0001517499023394223,3.487530974562938e-05,0.990773507611608,21.098180862310866,91.80267956749479,71.82800867924875,14.232427877181756,4786.391861584521,0.001503280741766162,0.000345485438181495,0.7329384490366623,21.098180862310866,91.80267956749479,71.82800867924875,4848.285752335038
trial31,drran,27.956227971169433,87.89736080144853,192.40291252574593,737.3564410064846,0.00025584061017127225,8.137148097526618e-05,0.9724565932184435,27.956227971169433,87.89736080144853,192.40291252574593,35.28561355754198,4744.423657558153,0.0012973846670025137,0.000412640165601244,0.7326838108638666,27.956227971169433,87.89736080144853,192.40291252574593,4815.8049769377685
trial32,drran,25.856128287566015,169.94505667578898,154.7006343342646,736.7964316048924,0.0006827516445734342,0.00010387659668333472,0.9785614667778041,25.856128287566015,169.94505667578898,154.7006343342646,29.750847785809402,4763.505383117214,0.003812259708734667,0.0005800126112677057,0.7331402506070435,25.856128287566015,169.94505667578898,154.7006343342646,4853.055806989238
trial33,drran,21.282290836795582,92.60238598538993,72.24490807747662,736.459205267295,0.00015327872140756798,3.522719521074434e-05,0.9906527238958395,21.282290836795582,92.60238598538993,72.24490807747662,14.410320608783886,4784.3995410135185,0.0015348710446767165,0.0003527508672934179,0.7331326874941415,21.282290836795582,92.60238598538993,72.24490807747662,4835.640568720002
trial34,drran,26.479409670733972,77.3011866822144,182.86202108844228,736.9045479428456,0.0005177060134297418,0.00017733944596432343,0.977060184380775,26.479409670733972,77.3011866822144,182.86202108844228,32.19902818232049,4760.302218457226,0.0029603652523485027,0.0010140688345988559,0.7332098281268346,26.479409670733972,77.3011866822144,182.86202108844228,4847.412051455521
trial35,drran,21.822801359163286,122.69812635868765,191.76469012418747,736.9658693053336,0.000578824929487703,0.0001029484461809588,0.9748704735030307,21.822801359163286,122.69812635868765,191.76469012418747,31.1512959966868,4749.98991917703,0.002318231640280374,0.0004123152495619492,0.7332369752953266,21.822801359163286,122.69812635868765,191.76469012418747,4835.590146770393
trial36,drran,20.647006970813425,130.70884343633435,161.0612483471482,736.8138837083682,0.00048765030162651343,7.703012980836347e-05,0.9787095583544196,20.647006970813425,130.70884343633435,161.0612483471482,27.271423011735283,4754.963547599542,0.0021387947255833927,0.00033784791026606094,0.7333826202217776,20.647006970813425,130.70884343633435,161.0612483471482,4822.147575140478
trial37,corny,22.1739521330543,248.68206136269228,190.1018083131765,736.6077390107317,0.000789054321440873,7.035671434495519e-05,0.9742095998932675,22.1739521330543,248.68206136269228,190.1018083131765,27.354360111735947,4754.451940168292,0.003500412509679327,0.0003121173236632108,0.733074855173006,22.1739521330543,248.68206136269228,190.1018083131765,4841.741591751033
trial38,corny,27.604452822931176,84.13775448939397,149.91181945240493,736.4360005954642,0.00012186303035722237,3.99816027034501e-05,0.9775080667138863,27.604452822931176,84.13775448939397,149.91181945240493,32.3639943152309,4757.378761090439,0.0004551579422566318,0.0001493311298863988,0.7326186373333013,27.604452822931176,84.13775448939397,149.91181945240493,4815.911306189151
trial39,corny,22.138017214660135,258.3186130875787,185.0104305148625,736.6351540865811,0.0007577000125331065,6.49352198067089e-05,0.9745402305002917,22.138017214660135,258.3186130875787,185.0104305148625,27.223604979479838,4751.8831742254815,0.0034078635414104344,0.00029205538402058166,0.7331140524586389,22.138017214660135,258.3186130875787,185.0104305148625,4841.112451800177
trial40,corny,24.832831770985795,124.79788605652058,58.84361712593837,736.3215848770087,2.8947677404863366e-05,5.760136055751556e-06,0.9898219912398255,24.832831770985795,124.79788605652058,58.84361712593837,14.56673422818254,4798.3201646608595,0.00017052998878672922,3.393280653432735e-05,0.7326599462250367,24.832831770985795,124.79788605652058,58.84361712593837,4849.298460450632
trial41,corny,20.546161192836543,236.14857532292623,176.21077208740576,736.6449385938279,0.0007006167597626257,6.095732257033956e-05,0.9761697715506171,20.546161192836543,236.14857532292623,176.21077208740576,25.926045201644367,4755.203398129113,0.0030604793651198272,0.00026627771214420394,0.7331030585440926,20.546161192836543,236.14857532292623,176.21077208740576,4842.782742953924
trial42,corny,27.851154307274243,76.0129072447136,169.12732781543576,736.1616881032866,0.00015706023115260532,5.754692054186084e-05,0.9758178454377774,27.851154307274243,76.0129072447136,169.12732781543576,35.464230552218886,4750.099795047371,0.0005114764908176349,0.00018740515508036676,0.7325830375634336,27.851154307274243,76.0129072447136,169.12732781543576,4815.291324505742
trial43,corny,23.981678869738328,282.99041544942463,201.4798586650553,736.3955195035538,0.0011126609611936886,9.429110106031216e-05,0.972692876224359,23.981678869738328,282.99041544942463,201.4798586650553,27.484532631925585,4755.730250582993,0.004873763749202667,0.00041302118637031704,0.7332326095813307,23.981678869738328,282.99041544942463,201.4798586650553,4820.994447945395
trial44,corny,24.750222213188284,124.38278746372016,58.714165091023546,736.3293223374575,2.8945224290499308e-05,5.759645267713525e-06,0.9898139185291807,24.750222213188284,124.38278746372016,58.714165091023546,14.576925448094087,4799.43702928068,0.00017113307298191006,3.405279517122473e-05,0.7325256417181364,24.750222213188284,124.38278746372016,58.714165091023546,4858.282327481818
trial45,corny,27.50368763041923,104.90199304639233,111.76585306231574,736.7525042696865,6.423158444513767e-05,1.6840532608419456e-05,0.9811368011176641,27.50368763041923,104.90199304639233,111.76585306231574,25.7110790345832,4771.882933509755,0.0003231913186225706,8.473578827360681e-05,0.7326808574004846,27.50368763041923,104.90199304639233,111.76585306231574,4823.712511827443
