specimen,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,feasible,issues,crutch_F_peak_N,crutch_SEA_J_per_g,crutch_eta,lander_F_peak_N,lander_SEA_J_per_g,lander_eta
56,39.783642906695604,86.48129127919674,56.00961208343506,6.33682107925415,4.993033306207508,1,,736.7473403056842,0.0003043940637379033,0.9824225413798562,4779.75663939182,0.0015380672498986076,0.7324771177893579
57,27.665885230526328,66.45027393475175,64.12403501570225,11.572280567139387,3.8424803311936557,1,,737.8698060951616,0.0010618013679349158,0.9523927673489064,4691.788971188542,0.00344880002112013,0.7338906216396566
58,29.50260799843818,100.49458210356534,42.66997080296278,7.618539523333311,3.1991085684858263,1,,737.3371946234586,0.00025837881958314915,0.9725434938595773,4757.802606225242,0.0005716385194957281,0.7324784164300633
59,34.252755041234195,80.6588780041784,77.03402820974588,9.903814762830734,4.388576503377408,1,,737.9705701666838,0.0006215352767679879,0.9597368843552924,4717.673067821381,0.002310117349565516,0.7326379868769237
60,36.16457042749971,104.53842616640031,69.7828957810998,9.54530917480588,4.667072833515704,1,,738.5205958981251,0.0003889267240021808,0.9530629090855631,4706.80500031084,0.0008865088702106948,0.7327208179914774
61,31.546727032400668,73.00843288190663,50.39961885660887,8.738794036209583,3.4775383649393916,1,,737.1484766891652,0.0006166699279103216,0.9724776022521782,4745.122780467073,0.002495648583074064,0.7327023730989347
62,25.826787212863564,93.7477863766253,71.560113504529,11.15808192640543,4.120643396861851,1,,737.8971772232446,0.0006332354733990819,0.9423090068695101,4671.888788102516,0.0009486877345228941,0.7326971739568128
63,38.076848313212395,62.022481337189674,48.42704921960831,7.489273924380541,5.271263501606882,1,,736.7127217749656,0.0009129735326688586,0.9791327297157886,4773.804718607496,0.005358269171763314,0.7330094591531301
64,38.00584504380822,86.99917191639543,71.20849926024675,11.591088127344847,4.510141426697373,1,,738.4001259920274,0.0008782859545605501,0.9396868975771703,4675.043408134049,0.0025971533238322003,0.7324918652874829
65,25.748602664098144,68.72751735150814,49.32554002851248,6.306450694799423,3.009165145456791,1,,736.4666286709651,0.00033928904563432086,0.9868370365574726,4777.243325145593,0.0015040018163788094,0.7327797769146756
66,31.4091331185773,98.0835389252752,67.6345007866621,9.88748323917389,3.652727698907256,1,,737.9906671124836,0.0005192615257605012,0.9531202188098735,4703.430168803268,0.0008825230780725934,0.7327022703651422
67,36.03398613166064,79.61657111532986,52.001137882471085,7.646802943199873,5.114483807235956,1,,737.10651702223,0.0004047081315876801,0.9760518486140859,4758.592748117375,0.002138593182904765,0.732652274863797
68,34.3281072890386,105.63041855581105,44.89649936556816,8.802916087210178,5.460939867887646,1,,738.5706333261471,0.0002176486379059716,0.9594507861401904,4724.195507709559,0.0007117795913489207,0.732772986533582
69,29.570950851775706,75.4691634234041,75.51062367856503,9.469621438533068,3.9992692177183926,1,,737.6852897659537,0.0005585969822418626,0.9657161114049669,4728.730087892113,0.0020200181883989767,0.7326837402451295
70,27.791805947199464,91.51870407164097,56.28307428210974,7.424506891518831,3.35604968899861,1,,737.1914491025556,0.0002406720415639118,0.9761234093205707,4762.345041139252,0.0007007189386137581,0.7324932628405536
71,39.91674467921257,61.55276069417596,63.147449381649494,11.234777994453907,4.856939916033298,1,,736.7059168883264,0.0021536341915098203,0.953165714525177,4733.836177071688,0.009311499089617755,0.7339233781351373
72,38.50810962263495,103.22804491966963,59.072382375597954,9.25343619659543,3.2862561983056366,1,,737.8117877686882,0.00047027564235928364,0.9579131291087736,4718.01665929897,0.0008846864015812394,0.7326856221199627
73,28.2647725334391,84.1705502383411,60.93919590115547,8.468161292374134,4.318482311908156,1,,737.6643280485794,0.00029377497910807273,0.9700888613754883,4744.044024546472,0.0011247253835895803,0.7326584501333614
74,30.04624154418707,89.21399199403822,42.099867053329945,10.535159982740879,4.925264329183847,1,,738.6588289591507,0.0004998649651260416,0.9490846991151471,4694.9856323460435,0.0012362231997726186,0.7324987826281221
75,32.92080928571522,69.96118555776775,77.71643575280905,6.79970159009099,3.932258351240307,1,,736.6085352404481,0.0005106676307771003,0.9834780964184708,4771.40573633919,0.0026679898606406225,0.7330019332209018
76,34.62715337984264,97.26746435277164,65.46530988067389,6.463893413543701,4.210458967834711,1,,736.9244086640597,0.0001736495411509179,0.9809037634338988,4776.900979252177,0.0007452855990495921,0.7326710746599148
77,31.88395945355296,64.75786873139441,54.82950855046511,11.632702510803938,5.203379487618804,1,,737.9491010483292,0.0011450157434983888,0.9501402647801579,4700.570656568571,0.005901897786861456,0.7340005130145921
78,26.2220338312909,108.05885581299663,73.37524875998497,8.07667226716876,4.596941091120243,1,,737.8114115768633,0.00017658177080330569,0.9661535952892506,4742.909983875821,0.0004366262612397666,0.7324848847529235
79,36.596744512207806,75.74457343667746,46.489845141768456,10.383187741041183,3.5648010317236185,1,,737.4128650491118,0.000930554024223683,0.9592887130457091,4711.460969521067,0.004537570127156466,0.7332572009740456
80,37.07830162718892,108.46879108808935,62.29270212352276,7.1506041549146175,5.069741196464747,1,,737.5685259324999,0.00014279352981755997,0.9734587764503958,4761.980675978248,0.0006065263375397906,0.7326601645466119
