tier,regime,seed,trial,stage,feasible,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
C,crutch,1,6,bo,True,25.518644731491804,95.69061383605003,48.589333556592464,10.80336531624198,5.398743943776935,738.7013893952758,0.0004117312476903384,0.9437111616341222
C,crutch,1,7,bo,True,27.88618473801762,62.161960350349545,58.082623556256294,11.374064527451992,5.04794887220487,737.9655514359484,0.0009621790280137381,0.9539936658079962
C,crutch,1,8,bo,True,34.97962330467999,85.18849433399737,64.80598159134388,7.902211407199502,3.465582248289138,737.1237736364969,0.00042015149972687117,0.9747348856203091
C,crutch,1,9,bo,True,38.47701502498239,80.86221878416836,44.750324599444866,9.61311042867601,3.790626769885421,737.4773420085473,0.0007475853144974423,0.9631996755459387
C,crutch,1,10,bo,True,36.3134712221656,60.0,74.95193734451252,11.629715792424236,3.1770109030275493,735.8870569778002,0.001896582984935029,0.9564613111027763
C,crutch,1,11,bo,True,40.0,60.0,80.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
C,crutch,1,12,bo,True,40.0,60.0,40.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
C,crutch,1,13,bo,True,25.0,60.0,40.0,12.0,3.0,737.4439194339218,0.0012504476863027876,0.953887498644006
C,crutch,1,14,bo,True,40.0,60.0,80.0,12.0,4.154323315746927,708.4792568654929,0.002683979985019092,0.9849339493132316
C,crutch,1,15,bo,True,40.0,60.0,80.0,12.0,4.96087635252588,736.2951630772196,0.002628043166142368,0.9461267687764346
C,crutch,1,16,bo,True,40.0,60.0,75.60590424347521,12.0,3.6143324163609347,708.0865461896153,0.0024788021414081547,0.988778799958194
C,crutch,1,17,bo,True,40.0,60.0,80.0,7.484248521698491,4.734597019300363,736.6030576976536,0.0012152043368193449,0.9795888926768187
C,crutch,1,18,bo,True,27.42370906432344,110.0,80.0,6.0,3.3814219650526893,736.8769077734149,9.78829729843986e-05,0.9818891641079178
C,crutch,1,19,bo,True,40.0,60.0,77.26716076861881,10.59087850647214,3.0,716.4420255033796,0.0020810232590591803,0.990386106939741
C,crutch,1,20,bo,True,40.0,60.0,80.0,7.602158908761721,3.0,736.325249842528,0.0014384536509297417,0.9816286708572247
C,crutch,1,21,bo,True,32.65546539220276,60.0,80.0,9.95803673396952,4.383841605901399,737.0481280937552,0.0012783725980018811,0.9667020160083193
C,crutch,1,22,bo,True,37.11411738809909,60.0,80.0,6.0,4.3190880029770335,736.3675471101258,0.0007637388567174264,0.9872848873169974
C,crutch,1,23,bo,True,25.0,110.0,80.0,12.0,3.0,736.5870657312868,0.0004904296970390605,0.9260808080542904
C,crutch,1,24,bo,True,30.920348726771387,60.0,80.0,6.138867908699954,3.40028187357714,736.3364951336234,0.0006704195048987697,0.988004506946779
C,crutch,1,25,bo,True,27.102156425278448,60.0,40.0,6.0,3.5395139081349454,736.3562954546338,0.0004908220555392039,0.9886972290757097
C,crutch,1,26,bo,True,34.64450657830347,60.0,80.0,6.2955758930718755,4.890068349690112,736.5160418398348,0.0006293412311765211,0.9859482054487947
C,crutch,1,27,bo,True,28.51416083464208,60.0,40.0,7.389393846702732,3.0,736.5109755620431,0.0007427798742126821,0.9834999593055452
C,crutch,1,28,bo,True,34.76842600439439,60.0,40.0,6.0,3.0,736.2452715187584,0.0008411484654080304,0.9885772957226128
C,crutch,1,29,bo,True,33.281048899581606,60.0,40.0,6.0,3.92048694326495,736.3409256334955,0.0006764258448046362,0.9879767689235153
C,crutch,1,30,bo,True,37.0218501936519,95.22309024749794,40.0,6.0,5.5,736.8438855458511,0.00016110841119187173,0.98305883493044
C,crutch,1,31,bo,True,40.0,60.0,40.0,12.0,4.507901662530292,729.5871363309092,0.002668481879422555,0.9558143408713953
C,crutch,1,32,bo,True,40.0,60.0,80.0,12.0,4.493654493701057,729.1040822993141,0.002668531439607027,0.9564783163931407
C,crutch,2,0,seed,True,37.5,105.0,60.0,9.0,4.5,738.2643112379784,0.0003457825107002405,0.9586162973152468
C,crutch,2,1,seed,True,25.0,70.0,60.0,6.0,3.0,736.4176283507915,0.00028388944395114826,0.9879324371711578
C,crutch,2,2,seed,True,40.0,110.0,80.0,12.0,5.5,739.1998285361858,0.0006698457843160237,0.9191669289607668
C,crutch,2,3,bo,True,36.663799583911896,108.44324290752411,40.79047113656998,9.84019160270691,5.401198446750641,738.9643734720436,0.00034711166558808496,0.9475457669386366
C,crutch,2,4,bo,True,26.07278164010495,80.86208630353212,68.46732653677464,8.070004127919674,3.8137451158836484,737.3696774216419,0.0002937078662572383,0.9740710361666672
C,crutch,2,5,bo,True,29.407159481197596,97.19642176292837,59.49915084987879,10.678703092038631,3.3634422924369574,738.0070367865906,0.0006137128973361855,0.9452942288962682
C,crutch,2,6,bo,True,34.285231032408774,68.72022425755858,72.49308865517378,7.408378422260284,4.284380769357085,736.7305430943162,0.0006212521533106265,0.9802576150552715
C,crutch,2,7,bo,True,34.524486688897014,88.09289679862559,64.17576931416988,6.510754980146885,4.686719071585685,736.8699930624946,0.00022459822091289817,0.9816747420564987
