H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible
4.05416,18.2107,0.485,69.8945,0.672647,0.612958,185.324,20.23,1.21327,25.4376,103.128,5.66305,2.74658,209.643,0.667407,0.242302,88.6445,8.37703,208.144,140.007,4.06,False
4.16821,5.47819,0.689334,40.267,0.887507,0.615304,186.033,20.23,0.578353,11.794,49.16,8.97377,6.18593,21.4825,0.910837,0.0586454,15.0827,11.044,207.96,184.566,4.08,True
1.57896,17.6666,0.413888,78.8206,0.620651,0.608557,183.994,20.23,1.12845,60.7476,95.918,5.42934,2.24714,1112.01,0.620088,0.293408,383.156,34.5842,208.726,129.546,4.06,False
2.91968,9.3525,0.894071,56.1734,0.863068,0.615439,186.074,20.23,0.68715,20.0049,58.4078,6.24515,5.58361,73.4332,0.880515,0.0692173,27.1941,14.9667,208.123,179.625,4.08,True
3.13281,13.831,0.502689,64.7292,0.720206,0.612869,185.297,20.23,1.06528,28.9035,90.5491,6.54684,3.29102,237.648,0.722662,0.182745,97.0796,9.08467,208.174,149.928,4.08,True
3.62168,11.344,0.282894,65.5616,0.583205,0.611277,184.816,20.23,1.07267,25.1753,91.1769,8.03746,2.27375,181.544,0.581159,0.342282,130.257,12.0919,208.249,121.452,4.08,False
2.47682,11.8655,0.653596,54.1204,0.810827,0.613193,185.395,20.23,0.89183,30.606,75.8055,6.38872,4.17564,223.082,0.804625,0.123834,83.6232,9.51834,208.226,168.835,4.08,True
2.01616,6.84631,0.46687,70.8886,0.865862,0.613303,185.429,20.23,0.703969,29.6789,59.8374,8.7401,4.0805,165.584,0.873944,0.133551,101.619,9.84526,208.228,180.297,4.06,True
3.685,16.3246,0.763323,49.4392,0.769231,0.614629,185.829,20.23,1.04392,24.0797,88.7335,5.43558,4.14911,161.636,0.762425,0.12009,49.5381,6.42271,208.089,160.068,4.06,True
3.92784,8.61167,0.442308,51.813,0.77697,0.614835,185.892,20.23,0.879605,19.035,74.7664,8.68198,3.84011,85.1061,0.769348,0.140973,43.8599,5.90284,208.048,161.647,4.06,True
2.16979,14.9619,0.832053,67.869,0.837524,0.613117,185.372,20.23,0.899533,35.2385,76.4603,5.11034,4.25208,298.278,0.844993,0.118759,100.04,9.72408,208.241,174.406,4.06,False
2.23114,6.6616,0.307925,47.1373,0.812954,0.609642,184.322,20.23,0.788325,30.0329,67.0076,10.0588,3.09735,189.876,0.812725,0.21697,160.088,15.8261,208.383,169.406,4.06,True
3.47088,16.9783,0.584358,73.1906,0.711141,0.613653,185.534,20.23,1.1307,27.6901,96.1091,5.66071,3.30788,231.507,0.707287,0.175581,81.5647,7.44091,208.111,147.996,4.08,True
3.02448,7.79857,0.869276,76.518,0.904784,0.615908,186.216,20.23,0.625539,17.5802,53.1709,6.81803,5.92675,51.6261,0.920863,0.0571718,18.7602,13.8221,208.019,188.213,4.08,True
2.72214,15.8152,0.571857,42.5695,0.777429,0.610885,184.698,20.23,1.08744,33.9558,92.4324,5.84452,3.34223,334.812,0.777512,0.181931,130.565,13.0368,208.312,161.948,4.06,False
1.68446,10.7822,0.713987,62.4223,0.799235,0.611439,184.865,20.23,0.765302,38.6182,65.0506,6.03316,4.3076,304.779,0.804013,0.120834,129.809,14.2286,208.396,166.557,4.06,False
4.36858,12.7653,0.344902,58.4802,0.666615,0.612871,185.298,20.23,1.11628,21.7196,94.8838,7.43295,2.56364,140.619,0.662189,0.283739,84.5617,8.70655,208.152,138.757,4.06,False
