seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
9,3,33,3.02687,5,0.916667,40,0.822947,0.615484,186.088,20.23,0.460383,12.9284,39.1325,7.82651,7.1743,20.5483,0.863422,0.040971,19.8205,17.0352,208.074,171.234,4.06,True,0.024648,0.77611,184.488,0.0395863
9,3,34,2.96776,13.6732,0.916667,80,0.879155,0.615775,186.176,20.23,0.85088,24.3701,72.3248,5.28951,4.84872,134.944,0.88659,0.0846618,37.9425,12.6094,208.013,182.876,4.06,True,0.024648,0.77611,184.488,0.0395863
9,3,35,3.24381,5,0.462808,40,0.86433,0.615233,186.012,20.23,0.618372,16.2037,52.5616,10.5123,4.86519,43.3556,0.861166,0.094774,27.9815,14.3221,208.058,179.831,4.06,True,0.024648,0.77611,184.488,0.0395863
9,4,36,3.35879,5,0.916667,40,0.847281,0.615467,186.083,20.23,0.466254,11.7994,39.6316,7.92632,7.26579,17.3344,0.915343,0.0411769,19.1554,14.8488,208.034,176.263,4.06,True,0.024648,0.77611,184.488,0.0395863
9,4,37,4.4,18.3333,0.916667,40,0.79092,0.61515,185.987,20.23,1.0449,20.1856,88.8168,4.84455,4.44084,113.692,0.782329,0.105997,34.1444,6.97728,208.047,164.549,4.06,True,0.024967,0.77611,184.488,0.0395863
9,4,38,4.4,13.2386,0.646018,45.4869,0.782463,0.615095,185.97,20.23,1.00665,19.4467,85.5655,6.46334,4.17544,101.658,0.775733,0.118316,35.9409,5.79527,208.04,162.784,4.06,True,0.0250492,0.77611,184.488,0.0395863
9,4,39,3.48436,18.2918,0.916667,40,0.799978,0.61447,185.781,20.23,1.02185,24.9277,86.8569,4.74842,4.35271,169.558,0.80317,0.11249,50.2929,6.96223,208.119,166.491,4.06,True,0.0250492,0.77611,184.488,0.0395863
9,4,40,3.57781,5,0.916667,53.1641,0.904644,0.615564,186.112,20.23,0.46976,11.1603,39.9296,7.98592,7.32043,15.6243,0.979769,0.0413136,18.8247,13.2587,207.928,188.101,4.08,True,0.0250492,0.77611,184.488,0.0395863
9,4,41,4.4,13.8507,0.62792,44.0714,0.768748,0.614981,185.936,20.23,1.03912,20.074,88.3255,6.37697,4.00423,111.816,0.760088,0.128534,40.0265,5.94607,208.052,159.939,4.06,True,0.0261963,0.768748,184.488,0.0395863
9,4,42,2.43401,11.8509,0.693718,80,0.875472,0.614588,185.817,20.23,0.863384,30.1509,73.3877,6.19259,4.29591,209.592,0.878173,0.113245,74.8463,6.68081,208.096,182.182,4.08,True,0.0261963,0.768748,184.488,0.0395863
9,4,43,3.3537,13.979,0.916667,40,0.828111,0.61492,185.917,20.23,0.875404,22.1872,74.4093,5.32295,4.87938,115.075,0.826135,0.0917221,36.8018,10.5718,208.105,172.334,4.06,True,0.0261963,0.768748,184.488,0.0395863
9,4,44,2.54123,12.3408,0.640669,80,0.855727,0.614126,185.677,20.23,0.916864,30.6676,77.9334,6.31511,4.04589,230.268,0.859803,0.126078,82.363,7.01414,208.103,178.08,4.08,True,0.0261963,0.768748,184.488,0.0395863
