R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta,feasible,pareto
38.13134029507637,71.21155158616602,42.9918647184968,11.438397478312254,5.090480453334749,4700.921753956772,0.006596944695332357,0.7324757087500702,1,0
39.53265892807394,104.488395890221,79.54172141849995,10.441430300474167,4.146475202403963,4687.358650585376,0.0010801339746532523,0.732665259022896,1,0
27.415147959254682,73.54130101390183,40.158614218235016,8.205925416201353,5.336009894497693,4752.061358548786,0.0016887651303698697,0.7324642177534768,1,0
29.25186511129141,93.40403260663152,61.63174841552973,11.784712236374617,4.690197917632759,4655.369916577414,0.0011467019752223855,0.7325254187283012,1,0
34.001801209524274,62.65224948525429,58.49823784083128,6.4993908405303955,3.539578185416758,4780.936392866043,0.0038797839974020363,0.7329432534446383,1,0
35.94292621128261,85.06961077451706,45.934614948928356,6.857896942645311,3.193074445705861,4772.732746788689,0.0013708092898640839,0.7326575791526524,1,0
31.3252723030746,67.57461683824658,74.04888693243265,10.664457477629185,4.343627793248743,4712.124953589024,0.004535220715669367,0.7337781507308186,1,0
25.605355533771217,99.18131706304848,52.907164096832275,8.62012381106615,4.989173039328307,4735.0688042826405,0.0005702832880364181,0.732483900190619,1,0
37.85514846909791,81.49100988171995,67.27168716490269,9.288977969437838,3.7997053279541433,4734.018102405211,0.0028918096823995617,0.7324817100250551,1,0
37.80503395013511,96.81172258220613,45.073666386306286,8.701728779822588,5.125082248821855,4732.103594217297,0.0011672672996586812,0.7327003414829572,1,0
25.68752756342292,65.25727947242558,74.43986479192972,9.394844390451908,3.661962069571018,4733.87455725977,0.002676801963717049,0.7332307459313724,1,0
31.217465507797897,107.79767254367471,53.60896348953247,7.314530499279499,3.018861209973693,4762.664933565192,0.00046500415474686336,0.7324719400061556,1,0
35.96740596462041,76.04791767895222,66.72491706907749,11.14535253122449,4.520895753055811,4690.9677428398445,0.004354788451831871,0.7333152957211552,1,0
33.924206593073905,103.72955970466137,78.83963592350483,11.492873579263687,4.867398901376873,4653.855854452874,0.000986472874684011,0.7325127863396125,1,0
29.30655704345554,83.72301602736115,40.70322901010513,6.228700887411833,3.365430742967874,4780.666313031025,0.000913379543754869,0.7326746586165124,1,0
27.39341501146555,89.52095423825085,62.49176237732172,9.774620275944471,4.0087995254434645,4711.851134125923,0.000995501573443134,0.732687568524313,1,0
39.64321252889931,69.7097238060087,58.10575317591429,7.560264050960541,5.4718527239747345,4762.413831440349,0.004549361725625589,0.7332074337380258,1,0
38.239612258039415,105.91549136675894,64.6609503030777,6.541597466915846,3.9219638747163117,4776.318243886808,0.0006635929667511721,0.7326616776739802,1,0
27.857683808542788,75.14078523032367,55.277385488152504,11.730962812900543,4.916333886329085,4681.890396895363,0.0021440647847458883,0.7324422752494549,1,0
29.76857320405543,91.9998612627387,76.67288940399885,8.163165360689163,4.309703022707254,4745.540476031405,0.0008782446200545326,0.7326893865815448,1,0
32.519197687506676,61.029841881245375,43.53892091661692,10.49609650298953,3.276418610010296,4739.079647655805,0.005656789860568564,0.7335077821913635,1,0
34.561946112662554,86.66832013055682,50.81965837627649,9.328258998692036,3.55464843288064,4730.815804968358,0.0014969428793054752,0.7324405573735794,1,0
31.67993172071874,69.00401305407286,68.93316756933928,8.569302845746279,4.587866460904479,4741.713310329003,0.003364059449670353,0.7334161705879082,1,0
26.151346084661782,97.55660871975124,47.87029571831226,10.624631244689226,5.194763459265232,4683.6697645629265,0.0008069598008946662,0.7325236670484635,1,0
36.40188484918326,80.08761339820921,72.23405569791794,6.909632183611393,4.2004604283720255,4772.542489007008,0.001956219270327669,0.7324666183801832,1,0
36.79921339266002,100.31716929748654,56.47028982639313,10.05140620842576,4.4139443705789745,4700.353049338835,0.0010704630625616933,0.7324969292130468,1,0
26.431507747620344,80.50746381282806,63.35577942430973,7.857695482671261,3.1035508303903043,4755.899608212366,0.0010408757383218279,0.7326609812424488,1,0
32.13585409801453,86.30311488173902,44.69280403107405,11.426885716617107,3.710300642531365,4677.284762427878,0.0015242162445930816,0.7326570437614962,1,0
34.90070149768144,66.2980976421386,75.32853845506907,6.0954686142504215,5.059904818888754,4775.032016761021,0.00283124699010073,0.7332492557022288,1,0
33.180226855911314,93.97249025292695,67.73590479046106,7.260400101542473,5.406417201273143,4764.450714373206,0.0008373870745904881,0.7324800123541392,1,0
30.312378047965467,62.22426070831716,52.11942207068205,11.023703064769506,4.056899079121649,4722.577832544295,0.005537854109380775,0.7335416293593803,1,0
28.460119031369686,104.76389214396477,71.07596702873707,8.96693467721343,3.450416593812406,4724.067398441868,0.0006075059004992327,0.7324870372581226,1,0
38.72482349164784,73.21097584441304,49.20908659696579,9.680421128869057,4.7607246758416295,4725.501849916629,0.005603613308176596,0.7335919116187732,1,0
39.187297276221216,89.8851104453206,73.24515800923109,10.699360962957144,3.2268527867272496,4696.389678882161,0.002027460837919686,0.7325803434960744,1,0
27.054652557708323,72.4145901761949,46.38071600347757,7.010682240128517,4.380996494553983,4768.970244411695,0.001561358744640027,0.7326728981724704,1,0
28.90923568047583,100.96947596408427,65.56915521621704,9.089511796832085,5.024512537755072,4722.684964217681,0.0006717076980828496,0.7324877349845841,1,0
33.64403769373894,83.30364244990051,54.955116882920265,8.257267322391272,3.831158231012523,4749.959463783279,0.00156049859114207,0.7326361356673,1,0
35.364977810531855,108.95013007335365,41.903495863080025,7.912655107676983,4.10937881981954,4743.26766635456,0.0006281386287423507,0.732816344505895,1,0
30.732247149571776,77.97858537174761,77.53679186105728,10.172389481216669,5.302647072356194,4713.846030481651,0.0020510932743228977,0.7324265623253713,1,0
25.026505631394684,94.8384260199964,59.26692221313715,6.628001634031534,4.659397759940475,4771.785504707625,0.0004311880523322298,0.7327460170484736,1,0
37.26122192572802,64.06219307333231,61.149967424571514,11.843778870999813,3.5053395102731884,4720.762769185652,0.00644758659679072,0.7325391207336087,1,0
37.64537791721523,107.06463017500937,77.25217029452324,9.64566184580326,5.431624531745911,4704.531733766989,0.000865425099231624,0.7325916531289446,1,0
25.403212290257215,76.87890137545764,42.88758061826229,8.81419825181365,3.9636172372847795,4740.7298168066945,0.0013525969547054741,0.7326242632443887,1,0
31.051398548297584,95.98026242107153,63.91214456409216,10.895176615566015,3.3177730552852154,4680.711866958494,0.0009565367731201519,0.7325434026028051,1,0
35.69132820237428,65.98984537646174,55.79795826226473,7.201419398188591,4.824685810133815,4768.415687886186,0.004146843327016141,0.7331388947046186,1,0
33.735053413547575,88.78753049299121,48.51782161742449,6.060664985328913,4.546512909699231,4786.2433479284755,0.0009346539150408464,0.7324575209145997,1,0
28.993030725978315,70.54032575339079,71.6512655839324,11.27419649809599,3.0396671355701983,4698.410985852828,0.002581733611813897,0.7331069956197803,1,0
27.19785090535879,102.89924423210323,50.29527120292187,7.729124687612057,3.68516829283908,4753.413871901693,0.0005017278474392919,0.7324861143159456,1,0
39.33792372234166,84.45672624744475,69.67846408486366,9.99247271195054,5.153109202627093,4712.3324066965,0.002997728441206942,0.7326320859592307,1,0
38.8681331789121,92.73242539726198,53.08945920318365,11.995787166059017,4.240727792028338,4656.1461944013345,0.002017568120761232,0.7326619439090948,1,1
28.610635087825358,60.19837995059788,67.47509647160769,6.663497630506754,5.239985254127532,4772.973022119452,0.0028587757506616466,0.7331368410192168,1,0
30.403504157438874,106.7464760877192,45.726075023412704,10.230630610138178,4.635484939906746,4685.67964554187,0.0007297992715787844,0.7325230759466208,1,0
33.2639105618,74.40774388611317,73.86195741593838,8.041906826198101,3.5973220546729863,4752.356849045281,0.00248390077751144,0.7328664492652874,1,0
35.21973529830575,98.29031698405743,61.747839376330376,8.409231271594763,3.250838277861476,4739.0909934289675,0.0008586639732264799,0.7326964573934464,1,0
32.46232292614877,79.25729596987367,58.631208688020706,9.125055000185966,4.2889341823756695,4735.393365154419,0.001965597093536559,0.7324557460108007,1,0
26.815545302815735,87.49892328865826,79.42379970103502,7.068879023194313,4.8930908758193254,4765.414087050164,0.0007116369972816737,0.7326974252727474,1,0
37.17603764962405,68.27059051953256,40.05677159875631,10.828659888356924,3.8938997983932495,4722.387477860806,0.006318038663137417,0.7335902585479904,1,0
36.48574742488563,85.57207364588976,66.1680057272315,7.59580010175705,4.735148669686168,4757.333681100502,0.0016118835338413237,0.7326827533050582,1,0
26.242407765239477,67.1280307136476,54.28428340703249,9.92657707259059,3.429642244707793,4724.144457952652,0.0024954038148235404,0.7332906373093652,1,0
31.830626535229385,99.48771343566477,72.51584514975548,6.358004104346037,4.033642215188593,4780.64715231318,0.0005688160076128491,0.7324800138211915,1,0
34.705191482789814,81.23898225836456,46.88171945512295,11.551074653863907,5.3783681797795,4677.407920865809,0.002612380328479516,0.7326301221869252,1,0
32.89585749153048,104.03170677833259,59.933941289782524,11.180844236165285,5.100166962482035,4660.082154438425,0.000931469900174371,0.732706477439834,1,0
30.152660771273077,74.0397644136101,60.5476076900959,7.466534502804279,3.755526456050575,4766.727473165974,0.0018724897549851946,0.7324765516249395,1,0
28.183988071978092,93.143415953964,41.39867801219225,9.5241032615304,3.1511840568855405,4713.175735083454,0.0008388092493517825,0.73273399427061,1,0
38.55869618244469,62.956160344183445,78.26259549707174,8.75997706130147,4.4566044276580215,4763.47710535062,0.007101834271597056,0.7330824643602253,1,0
39.96962723787874,101.70098947361112,44.192868918180466,6.756935812532902,3.5309526389464736,4771.076784965477,0.0008534635464368513,0.7326925953097729,1,0
27.712387652136385,82.47418165206909,76.05922482907772,10.589820463210344,4.680208896286786,4701.332754153333,0.0014312117192195987,0.7324448624167722,1,0
29.683328131213784,90.7150477077812,57.14219179004431,8.510373640805483,5.32586685102433,4740.801923643432,0.0009067614884335891,0.7324851612073368,1,0
34.30818371474743,71.68355313129723,62.758302576839924,9.199692495167255,4.137391016818583,4733.157345131631,0.004026382494883293,0.7334615878998342,1,0
36.11798228695989,95.57032090611756,70.35153705626726,10.343355786055326,3.790935556869954,4697.442733400368,0.0012064995374733108,0.7325067003777532,1,0
31.3608284201473,63.23311402462423,49.71497293561697,8.128401786088943,4.979325932916254,4754.860422519833,0.004208242187396079,0.7334700566785264,1,0
25.771272596903145,109.77892264723778,68.33963803946972,11.671989262104034,4.333323761355132,4638.917068664128,0.0008890874074078456,0.7326362407917546,1,0
37.896214122883976,77.24640401080251,51.45347133278847,6.413078170269728,3.1841535582207143,4779.58853488281,0.0022651169564510596,0.7325474811448008,1,0
38.05234735365957,102.22070574760437,69.23812840133905,10.513976980000734,3.946493942756206,4684.75254474938,0.0010829786643239453,0.7326936711779691,1,0
