print_id,session,mass_g_with_label,pred_printed_mass_g,rh_pct_at_print,defects,any_defect,moisture_defect,window_start,window_end,window_quality,chamber_rh_recorded_pct,tpu_nozzle_mm,outdoor_temp_mean_C,outdoor_temp_max_C,outdoor_rh_mean_pct,tpu_roll_age_days,days_since_tpu_dried,t180_obs,t180_resid,t180_z,ereb_obs,ereb_resid,ereb_z,mass_offset_g
2dran9,2dran,19.65000,19.94000,11.00000,none,0,0,2026-09-04,2026-09-05,day,11.00000,0.60000,23.03333,28.50000,32.02083,53.00000,18.00000,1.04510,-0.03340,-0.68052,15.12595,7.05127,1.72444,-0.29000
corny1,corny,20.20000,20.41000,7.00000,TPU mixed into one layer of a PLA strut,1,0,2026-09-10,2026-09-11,day,7.00000,0.60000,21.53542,28.90000,32.41667,59.00000,24.00000,1.04594,-0.01452,-0.17606,8.66300,-0.10007,-0.02526,-0.21000
corny2,corny,20.21000,20.52000,7.00000,none,0,0,2026-09-10,2026-09-11,day,7.00000,0.60000,21.53542,28.90000,32.41667,59.00000,24.00000,1.08462,0.03457,0.49035,9.22423,1.02032,0.24266,-0.31000
corny3,corny,20.15000,20.64000,7.00000,none,0,0,2026-09-10,2026-09-11,day,7.00000,0.60000,21.53542,28.90000,32.41667,59.00000,24.00000,1.07046,0.02055,0.18432,8.75159,-0.43852,-0.10207,-0.49000
corny4,corny,20.56000,20.46000,7.00000,many small pores on the TPU diagonal tendons,1,1,2026-09-10,2026-09-11,day,7.00000,0.60000,21.53542,28.90000,32.41667,59.00000,24.00000,1.04750,-0.04031,-4.67633,4.31345,-4.01429,-1.25792,0.10000
corny5,corny,20.58000,20.45000,7.00000,none,0,0,2026-09-10,2026-09-11,day,7.00000,0.60000,21.53542,28.90000,32.41667,59.00000,24.00000,1.08756,0.03968,2.23928,8.47746,0.30441,0.07810,0.13000
corny6,corny,19.45000,19.93000,7.00000,none,0,0,2026-09-10,2026-09-11,day,7.00000,0.60000,21.53542,28.90000,32.41667,59.00000,24.00000,0.91060,-0.06274,-0.64481,5.72631,-2.43897,-0.58564,-0.48000
corny7,corny,19.62000,19.92000,7.00000,none,0,0,2026-09-10,2026-09-11,day,7.00000,0.60000,21.53542,28.90000,32.41667,59.00000,24.00000,0.80311,-0.17524,-2.05657,9.36659,0.28890,0.07895,-0.30000
corny8,corny,19.64000,19.95000,7.00000,none,0,0,2026-09-10,2026-09-11,day,7.00000,0.60000,21.53542,28.90000,32.41667,59.00000,24.00000,0.95353,-0.01870,-0.13927,17.54042,9.09527,2.28658,-0.31000
corny9,corny,19.46000,19.97000,7.00000,none,0,0,2026-09-10,2026-09-11,day,7.00000,0.60000,21.53542,28.90000,32.41667,59.00000,24.00000,0.87658,-0.14906,-1.41450,18.09369,9.95663,2.54637,-0.51000
