specimen,drop_index,event_time,t180,e_rebound
drran3,10,2026-09-02T23:38:55,1.0384392526802255,0.013925588002111843
drran3,11,2026-09-02T23:39:36,1.0375288002736032,0.01387209244140082
drran3,12,2026-09-02T23:40:17,1.0387168813612708,0.013980051808897982
drran3,13,2026-09-02T23:40:58,1.038614444095845,0.014489400593467735
drran3,14,2026-09-02T23:41:40,1.0389168304631753,0.01401151704794853
drran3,15,2026-09-02T23:42:21,1.0389706953962206,0.014015837291654521
drran3,16,2026-09-02T23:43:02,1.0375181896028092,0.013995769078314405
drran3,17,2026-09-02T23:43:43,1.036026334185311,0.014033851047970914
drran4,0,2026-09-02T23:50:21,1.037679756463383,0.03041371752799556
drran4,1,2026-09-02T23:51:02,1.035010005077417,0.03034482049583699
drran4,2,2026-09-02T23:51:43,1.0336835246656206,0.03035440347409306
drran4,3,2026-09-02T23:52:24,1.037530402029421,0.030486009270947363
drran4,4,2026-09-02T23:53:05,1.0360544732077817,0.030571906254334008
drran4,5,2026-09-02T23:53:46,1.0351970629610114,0.030646918940936865
drran4,6,2026-09-02T23:54:28,1.0346668699248824,0.03027991543857128
drran4,7,2026-09-02T23:55:09,1.032956420823779,0.030357108944625226
drran4,8,2026-09-02T23:55:50,1.0351315315129748,0.030680458057476847
drran4,9,2026-09-02T23:56:31,1.032638810028293,0.030451048900036807
drran4,10,2026-09-02T23:57:12,1.0334602829254582,0.030468297404634116
drran4,11,2026-09-02T23:57:54,1.0327134423670823,0.0304745718627057
drran4,12,2026-09-02T23:58:35,1.0337804621192008,0.03054651986424241
drran4,13,2026-09-02T23:59:16,1.034909798146689,0.030862921692268026
drran4,14,2026-09-02T23:59:57,1.0325897477018522,0.03076705140942624
drran4,15,2026-09-03T00:00:39,1.0316847355431258,0.030684022093813577
drran4,16,2026-09-03T00:01:20,1.0334465725557234,0.03088198522890085
drran4,17,2026-09-03T00:02:01,1.0352641891095744,0.030661894388118886
drran5,0,2026-09-03T00:07:13,1.0400565614304917,0.020785839840115023
drran5,1,2026-09-03T00:07:54,1.0398587262383951,0.016573611425640854
