specimen,drop_index,event_time,t180,e_rebound
6nheas,22,2026-08-21T00:27:15,0.9966617210611649,0.040150888724212165
6nheas,23,2026-08-21T00:28:00,0.988403884167214,0.03954914058512017
6nheas,24,2026-08-21T00:28:45,0.9976512162647657,0.04031827978847835
6nheas,25,2026-08-21T00:29:30,0.9907169964855291,0.039939105608596495
6nheas,26,2026-08-21T00:30:15,0.9978951859667684,0.03991077368840918
6nheas,27,2026-08-21T00:31:00,0.9921567322169748,0.039653404500258956
6nheas,28,2026-08-21T00:31:46,0.999087459299227,0.039988800197690376
6nheas,29,2026-08-21T00:32:31,0.9891991807715576,0.03974428036844425
6nheas,30,2026-08-21T00:33:16,0.9973104977441387,0.040191290492315776
6nheas,31,2026-08-21T00:34:01,0.9989925294183513,0.04045638492867317
6nheas,32,2026-08-21T00:34:46,0.9992404777412536,0.0403674795726447
6nheas,33,2026-08-21T00:35:31,0.9902315716303269,0.03976818613661187
6nheas,34,2026-08-21T00:36:16,0.9969024167626729,0.04016128904421434
6nheas,35,2026-08-21T00:37:02,0.9982434979598988,0.04038896330638582
6nheas,36,2026-08-21T00:37:47,0.9962081246727584,0.04044175047309254
6nheas,37,2026-08-21T00:38:32,0.9988837876001154,0.040446424032652556
6nheas,38,2026-08-21T00:39:17,0.9967549425676846,0.040380681575021365
6nheas,39,2026-08-21T00:40:02,0.9979089820868631,0.04030646390669109
6nheas,40,2026-08-21T00:40:47,0.9953871648764432,0.040402362632588285
6nheas,41,2026-08-21T00:41:32,0.9979619936564391,0.04006858717867627
6nheas,42,2026-08-21T00:42:17,0.9989965691105969,0.040493885761004274
6nheas,43,2026-08-21T00:43:03,0.9979356375292512,0.040188596556048235
6nheas,44,2026-08-21T00:43:48,0.9913349499823333,0.040237211823144756
6nheas,45,2026-08-21T00:44:33,0.9966441959964093,0.04040176642415099
6nheas,46,2026-08-21T00:45:18,0.9975601336292157,0.04039331048447578
6nheas,47,2026-08-21T00:46:03,0.9975368620453926,0.04014674220298482
6nheas,48,2026-08-21T00:46:48,0.9994066753600868,0.04056345845978777
6nheas,49,2026-08-21T00:47:33,0.9989711441461218,0.040237470625998986
6nheas,50,2026-08-21T00:48:19,0.9993743776447173,0.040748645728342144
6nheas,51,2026-08-21T00:49:04,0.9988491424941381,0.04056056984080887
6nheas,52,2026-08-21T00:49:49,0.9998386438156205,0.040271187469493756
6nheas,53,2026-08-21T00:50:34,1.0007942633529292,0.04045858352185026
6nheas,54,2026-08-21T00:51:19,0.9979350464346586,0.040609871259256844
6nheas,55,2026-08-21T00:52:04,0.9991643088075405,0.040316974334754424
6nheas,56,2026-08-21T00:52:49,0.9995033098428386,0.04090173611355395
6nheas,57,2026-08-21T00:53:35,0.9993003331760971,0.040638987563147363
6nheas,58,2026-08-21T00:54:20,1.0008740186074851,0.04086461559691922
6nheas,59,2026-08-21T00:55:05,0.9992572720291599,0.04062740870257319
6nheas,60,2026-08-21T00:55:50,1.0002883646140537,0.04063123211223575
6nheas,61,2026-08-21T00:56:35,1.000844313272821,0.04058584310760391
6nheas,62,2026-08-21T00:57:20,1.0004272432322365,0.0402885932349637
6nheas,63,2026-08-21T00:58:05,1.000192431571897,0.0405957521994003
6nheas,64,2026-08-21T00:58:50,0.9998545339938261,0.040587832074439674
6nheas,65,2026-08-21T00:59:35,0.9983572439440721,0.04026138779999559
6nheas,66,2026-08-21T01:00:21,1.0001709537093932,0.04022030954903352
6nheas,67,2026-08-21T01:01:06,0.9987810884669983,0.040192166582532066
6nheas,68,2026-08-21T01:01:51,0.9913590211017074,0.03964227036402741
6nheas,69,2026-08-21T01:02:36,0.9994489921372485,0.04013608624451321
6nheas,70,2026-08-21T01:03:21,0.9911985086096762,0.039826994368443974
6nheas,71,2026-08-21T01:04:06,1.001688929772146,0.040012059304625314
6nheas,72,2026-08-21T01:04:51,0.9999975722625375,0.040067687996125104
6nheas,73,2026-08-21T01:05:36,0.9931492328511627,0.0400259090805376
6nheas,74,2026-08-21T01:06:21,0.9973995610584158,0.04005514918083016
6nheas,75,2026-08-21T01:07:07,0.9992651676832653,0.039865234083169596
6nheas,76,2026-08-21T01:07:52,0.9924040103484645,0.03944651497336103
6nheas,77,2026-08-21T01:08:37,0.9975726711474254,0.04020163327405958
