design_key,e_rebound_mean,fn_hz_mean,hic15_in_mean,hic15_out_mean,hic15_ratio_mean,hic36_in_mean,hic36_out_mean,in_1000_g_mean,in_180_g_mean,in_avg10ms_g_mean,in_avg15ms_g_mean,in_avg1ms_g_mean,in_avg36ms_g_mean,in_avg3ms_g_mean,in_avg5ms_g_mean,in_cfc60_g_mean,in_clip3ms_g_mean,in_dv_ms_mean,in_raw_g_mean,in_width_ms_mean,late_avg10ms_g_mean,late_avg3ms_g_mean,out_1000_g_mean,out_180_g_mean,out_avg10ms_g_mean,out_avg15ms_g_mean,out_avg1ms_g_mean,out_avg36ms_g_mean,out_avg3ms_g_mean,out_avg5ms_g_mean,out_cfc60_g_mean,out_clip3ms_g_mean,out_raw_g_mean,ring_r2_mean,second_rel_db_mean,srs1000_in_g_mean,srs1000_out_g_mean,srs1000_ratio_mean,srs120_in_g_mean,srs120_out_g_mean,srs120_ratio_mean,srs250_in_g_mean,srs250_out_g_mean,srs250_ratio_mean,srs30_in_g_mean,srs30_out_g_mean,srs30_ratio_mean,srs520_in_g_mean,srs520_out_g_mean,srs520_ratio_mean,srs60_in_g_mean,srs60_out_g_mean,srs60_ratio_mean,t1000_mean,t180_mean,t60_mean,t_at_out_avg10_ms_mean,t_late_ms_mean,t_second_ms_mean,tavg10ms_mean,tavg15ms_mean,tavg1ms_mean,tavg36ms_mean,tavg3ms_mean,tavg5ms_mean,zeta_pct_mean,batch,mass_g,nom_R_mm,nom_H_mm,nom_twist_deg,nom_strut_d_mm,nom_cable_d_mm,tierB_t180,tierC_t180,n_prints
trial12,0.020954414512238718,288.80387110238274,1406.5080816459265,1603.2074149135076,1.1404617000529746,1406.5080816459265,1603.2074149135076,284.9074237729386,228.83407378115126,56.13885147951938,37.99273467862375,261.3780593562252,16.38456830625155,172.22523013370895,110.7890223391942,112.56466177265807,45.10917797261302,5.31940670132629,319.3881057621052,2.380926315789474,16.83726375373473,31.37483807068173,317.2697222860378,238.20396164029995,78.07474377332419,60.384656425261575,278.65830257347034,32.48332825049343,178.34042300742016,123.30929509494231,115.14089457697261,45.69880786105086,397.90464758638853,0.9383277833991687,-3.719644017353885,340.2419616068373,375.58695758912194,1.103705346132941,322.09460670768544,326.3651816137079,1.01331202390501,409.3548128865729,425.95913047427064,1.040863463266609,96.72640221444766,100.01015715350434,1.033995654252078,322.704972658531,368.6209650227241,1.1449149998575354,186.29958827331384,188.70584873371507,1.0129512269959153,1.114236445148111,1.0410720834858893,1.0229204229158786,3.192631578947445,73.00631578947545,22.725263157895284,1.3907386397347445,1.5893596001465593,1.0663181916962416,1.9826175208451748,1.0355184612496053,1.1130099724438043,23.831169956141565,r2d2c,17.96,25.0,60.0,40.0,12.0,3.0,0.6631848561393392,0.8010611314687879,1
trial13,0.02059506472746661,755.0782166365532,1408.9535886848723,1511.8177772844251,1.0728903834374983,1408.9535886848723,1511.8177772844251,286.00022935501465,229.2776534232955,56.09684614298931,37.97295174925383,262.0707845320995,16.303363793895528,172.13545055540513,110.54556435022278,112.47956569418263,43.79975826260117,5.313316582530402,296.8597412508421,2.3723789473684214,36.12238785664471,66.77156723348826,286.657526977206,227.936356359094,86.35125017039522,67.68972624664983,265.7753419749288,41.919693238971085,179.1444657513647,126.83179330575834,111.13958919130992,46.755261863058585,294.6650145412111,0.707655893142008,1.6942506841892548,337.56180548144414,328.403043920842,0.9728830079645876,322.0649346063658,313.1106363409801,0.9722227899836655,411.2676751285814,407.7483359722515,0.9914199193070089,96.6474769493329,101.52714008963143,1.050496269692956,327.13092079545123,323.5699680195751,0.9890586737935986,186.0845570075687,181.9329538367384,0.9777269339388279,1.0023611455082975,0.9941502089448191,0.9881162222414315,3.7631578947369326,22.705263157895285,22.30315789473738,1.5392549239639886,1.7824308796586177,1.0141186383470844,2.5713654683957743,1.0407168261586268,1.1473041576535639,9.732746561116377,r2d2c,19.38,25.0,60.0,80.0,7.4015,3.0,0.6081877899776862,0.83920396701749,1
trial14,0.014237942580729723,313.68663398840437,1414.2136937698842,1685.6430767276152,1.1918944972619312,1414.2136937698842,1685.6430767276152,281.58828154673023,229.3468402167615,56.79570652944974,38.341877486186284,260.82010412900473,16.26852209874777,173.37299675578834,111.88511751557931,113.58952633031473,45.60509407800148,5.407057282506557,297.2079305578947,2.398863157894737,10.323673333853652,16.36315069191077,307.33613025221297,241.92825622548963,79.7550882380558,56.43194106004311,271.27110628387805,28.2398177449867,194.4172383862444,137.53719403944564,118.09500433130715,70.08468035398327,357.7440519517842,0.9968669635288334,-9.634552729297742,334.75542630265403,345.6604527042711,1.0323894323373752,323.7977913557123,340.384827375129,1.0512198384212672,410.1185086677087,430.59219421203653,1.0499036093821452,97.90347769054054,97.99032105139955,1.0008841454300772,320.72067802772546,309.76497907781356,0.9658572007210973,188.22891579379004,192.9672071427049,1.025169739016662,1.0915107253109722,1.0548487061828669,1.039661409936573,3.169473684210603,17.161052631579363,15.701052631579326,1.4042366965006967,1.4718090429141335,1.0400457656676931,1.7358362235389255,1.1213774652387563,1.2292654098340359,8.297183368253318,r2d2c,19.11,25.0,60.0,40.0,12.0,5.5,0.7527058571287651,0.897918668763674,1
trial15,0.043979386477547594,682.479706166684,1405.4029004809663,1367.5814982390602,0.9730648582321958,1405.4029004809663,1367.5814982390602,280.8005359619374,228.77510442418503,56.201392678356854,37.980257073642946,260.6297193502628,16.131474482108334,172.4698424560479,110.88819890223402,112.61217067102713,44.78776827372625,5.319947288297428,287.32845119473683,2.3862315789473683,29.603638632311362,42.01822172086437,310.84051070472685,216.9656586842028,75.59364680789703,59.135212230769795,262.02908759222925,36.32843491486413,169.2376350707394,119.5662557469657,103.92437238946813,22.706178736983983,426.8570897056016,0.8936711747499019,-2.0764749632370743,334.6242131086525,469.35764135321926,1.4026286100637542,322.4495169482605,284.9788094482169,0.8837932245351069,410.98130789834,387.3166970528535,0.9424162980415046,96.64178113596395,88.30911810084841,0.9137786286046762,323.27630862017605,288.64877483045234,0.8928804255481746,186.45632269177887,163.54269949000218,0.8771099931382677,1.1069613678311796,0.9483789100007616,0.922852163049531,3.726315789473774,19.444210526316258,47.71578947368537,1.3450483082864886,1.556994595484799,1.0053673914040444,2.2520136006527793,0.9812573431708005,1.0782586490961037,9.355636142178286,r2d2c,18.51,40.0,60.0,40.0,12.0,3.0,0.3682746535422606,0.6125895166340473,1
trial16,0.02008222725829031,315.54675497692324,1371.8906012082741,4403.149881292961,3.209646540949421,1371.8906012082741,4403.149881292961,282.5918386871656,226.71065629696835,56.00331202510527,37.86192040683399,257.4375520034702,16.0572731456883,171.34244583309336,110.4481533943433,112.0849499460238,45.04447080345019,5.307651020510293,309.13301113157894,2.3956631578947367,25.59168802839534,60.25132513696218,701.1390012423717,302.3491147397582,107.18779843947554,76.0655418682624,443.45219606612636,41.573199613643716,260.2818674748767,182.15578503785227,125.59011334998759,81.20548998921977,1139.8296282600684,0.9587087628405337,-8.295948580731762,336.3800586177352,958.6168422147241,2.849868220611072,319.98197831137844,382.8860476353157,1.196589755470554,404.27384137773464,605.9798721636969,1.498959476206437,96.44008517623425,100.97232468472029,1.047001302226405,315.07727970957905,826.0439199276952,2.6219745715050395,185.63863328858767,201.882445268772,1.087505556738583,2.4811536672200805,1.3336523122690265,1.1204943746232308,4.136842105263258,22.514736842105805,21.73789473684263,1.913959133165252,2.0090535620966015,1.7225918675187841,2.589153671544477,1.5190852692717884,1.6492490683534395,8.188237965769716,r2d2c,18.63,25.0,60.0,80.0,12.0,5.5,0.5121342051066223,0.8981476554090139,1
trial17,0.026431323014204304,324.8016073316787,1394.9470814012,2068.038766309369,1.482141414957255,1394.9470814012,2068.038766309369,281.3666605141961,228.13075315168498,55.97010182863433,37.88604391798819,259.30196291655,16.189940973514567,171.89431928950594,110.51894533111754,112.27882783186377,44.824464458643725,5.286740693515247,294.51475862,2.3850000000000002,27.454414825493927,53.72571220069801,436.91984331410487,244.20312491339655,89.58621110722913,69.32061028461581,290.0499281988563,40.393374990159415,193.52535160149517,135.96622764048075,117.86123321576096,40.29928152153985,1089.013615780374,0.8337983986884494,1.4054495887717786,328.28223151760426,688.9858671495533,2.098849546925858,321.4703443657024,337.06545803090006,1.0485001311543058,409.4997670236961,460.87250097823954,1.1253965120427154,96.30135178902154,104.03707153411885,1.0803303695804138,323.8617663549213,443.82285895372604,1.370227543966574,185.85634310280687,193.59897554891973,1.0416578204176792,1.5521182752575935,1.070425403666691,1.0497159333075523,3.9830000000000965,29.28800000000071,28.49700000000069,1.6006088513473606,1.8297106316041165,1.1184188878898151,2.495061568487794,1.125836269694504,1.23025498535263,9.027114854035904,r2d2c,19.98,40.0,110.0,80.0,12.0,5.5,0.692768366956152,0.8324494853710995,1
trial18,0.019118477950652364,308.13064536250397,1407.895589460458,2659.3126129636275,1.8886804640113806,1407.895589460458,2659.3126129636275,282.2216020244361,228.7528351201742,56.55580890076368,38.212570472628315,259.6315527861827,16.283355513053937,172.73515153593732,111.42018371745343,113.14332362245946,45.639333074403815,5.366680961494667,295.5950218631579,2.394989473684211,23.608208213010403,44.13537184015731,412.2429643984538,263.42261050987463,101.141107030795,73.33259576216902,303.73020463242295,39.563291729847364,221.02218228392744,161.17037227945372,124.21324940221106,29.940522589305225,883.9271394181303,0.9310380167028197,-4.8446475512478955,330.9714453980474,665.4080810340517,2.0104285734034937,322.8176172563881,368.0210640696157,1.1400241874557977,409.3934175578035,501.51148348428154,1.2249968932682234,97.36389483275387,101.68884041692927,1.0444195794689626,320.9547604409024,488.6939939736024,1.5225558129176313,187.4224702722083,202.5422236311877,1.080670948064705,1.4605985686498837,1.1515512545785227,1.0978384401468848,3.586315789473771,22.127368421053166,20.92526315789524,1.7883321947715891,1.9190657559730397,1.1698119757641625,2.429645991025009,1.2795383579931179,1.4465000259858236,8.050486077650683,r2d2c,23.47,25.0,60.0,80.0,6.0,5.5,0.8731757745839862,0.9122106524122264,1
trial28,0.016596097276859303,316.6185580316603,1268.9675765172074,1503.620913335982,1.1835564163349956,1268.9675765172074,1503.620913335982,260.36249335148966,218.40380848148868,56.629609738801435,38.61030496312571,243.40027692103274,16.44771118060863,168.47631095616114,110.35439458014503,111.49876954444501,49.62056709469109,5.260281776715819,268.6561315450833,2.4786444444444444,6.948300258627355,10.980221181553862,279.24006206940976,229.1218051247578,88.2527530755583,64.2579895864799,254.8513474153216,30.285598033114965,188.01314002632972,140.017728926485,116.29757527082614,91.05784900963906,284.934108583176,0.7763174502386933,-11.017891088737112,302.81775107461647,343.1336588772215,1.1329943418599404,313.1145630431458,329.459718692406,1.0520420525094147,382.73307206422004,402.182775696313,1.0505714450788324,97.04761011745958,98.11664272275357,1.0107814687535137,296.16345466570607,304.59517874439746,1.0281905744586175,185.32869085403445,193.04900784862497,1.0414943269490138,1.0720510080671848,1.0488800700136784,1.0428395799958086,3.1405555555556313,18.297222222222665,17.801666666667096,1.5587365822193975,1.6648621483542558,1.046966325521681,1.8420906076962313,1.1157857213809186,1.2686719171782932,8.316008983791079,round3,20.049999999999997,25.0,60.0,40.0,6.0,5.5,0.5756579986319597,0.8712621909562103,2
trial29,0.03381519789543981,321.775743382187,1292.9811088189713,1451.737843992336,1.1223803252787583,1292.9811088189713,1451.737843992336,264.9549197881579,220.62218030060785,56.546420484060526,38.52081898144472,247.35493393822134,16.47126343425004,169.1123568596161,110.51246216055648,111.77319808863618,49.30704457190702,5.263104402257144,276.9305505401389,2.4562222222222223,19.52362491147572,39.87804696192066,290.06976420340413,229.2040088861067,78.90258887807671,63.51026836006946,261.0154702144711,33.98129954794963,175.3803080407788,121.38881679403758,114.56389234187716,46.29623306756193,308.7628846904358,0.8024430084548295,1.4638571938347118,302.5945257305302,337.877314934001,1.1177356118485315,314.9231421185274,318.9545086810276,1.0127267281801686,388.9028583697815,401.17925369830436,1.0314030018786595,96.9832810503658,101.63114794085749,1.047822746661391,305.4370663867369,321.005918762854,1.0498014083758291,185.63617025523538,189.11323995437982,1.0186202606025136,1.0946334906895387,1.038840686750271,1.0248830624057226,3.6133333333334208,36.80333333333422,36.31888888888977,1.3946493711902161,1.6477387384335171,1.0550163256065104,2.0630903933282756,1.0369668071732758,1.0981912211157718,12.887793710322,round3,20.055,40.0,110.0,40.0,12.0,5.5,0.4797883878102295,0.8334629866141152,2
trial30,0.03475026353434976,313.4798228707695,1250.4413852402795,1474.6981984244378,1.1793961396775416,1250.4413852402795,1474.6981984244378,261.5932016197555,217.8766680342341,56.426010679431215,38.48234933746075,244.22565322961503,16.507426466657584,167.46959742550757,109.80733270253455,111.00805454264682,49.836115682121374,5.221532185996768,269.9978686672222,2.468111111111111,9.19916122421478,13.983051270561692,275.28977420721606,227.41748994183342,85.98628259993919,62.08209098982843,255.47873284586214,28.983827336627577,186.01956154519266,136.35765050865422,115.18449010437286,83.76630998225691,279.4911557447331,0.5441516254879856,-6.63458912711693,295.23197089118514,339.93778479894434,1.1509716625272084,311.608255100483,326.52436563439096,1.047875031122366,380.9990104745576,398.2934654996775,1.0454064485913797,96.60321753029017,97.24186977557983,1.0066185840447377,297.93511175349124,308.18133345120407,1.0342327147270616,184.48076574872903,191.4209475235831,1.037621858043852,1.0523435104056014,1.0437981300369126,1.0376253195069718,3.038888888888962,37.4638888888898,36.881111111112006,1.5238794515773835,1.6133063702842954,1.0461048951466678,1.755992652152557,1.1107617820716713,1.2418085968453543,5.459536767974274,round3,19.494999999999997,25.0,60.0,40.0,6.0,5.5,0.5752243144787283,0.8683191890169502,2
