print_id,batch,design,mass_g,t180,e_reb_mJ,tavg10ms,late_avg3ms_g,t180_sem,e_reb_mJ_sem,tavg10ms_sem,late_avg3ms_g_sem,H_mm,R_mm,cable_d_mm,strut_d_mm,twist_deg,t180__raw,t180__raw_sem,t180__per_gram,t180__per_gram_sem,t180__resid,t180__resid_sem,t180__resid_offset,e_reb_mJ__raw,e_reb_mJ__raw_sem,e_reb_mJ__per_gram,e_reb_mJ__per_gram_sem,e_reb_mJ__resid,e_reb_mJ__resid_sem,e_reb_mJ__resid_offset,tavg10ms__raw,tavg10ms__raw_sem,tavg10ms__per_gram,tavg10ms__per_gram_sem,tavg10ms__resid,tavg10ms__resid_sem,tavg10ms__resid_offset,late_avg3ms_g__raw,late_avg3ms_g__raw_sem,late_avg3ms_g__per_gram,late_avg3ms_g__per_gram_sem,late_avg3ms_g__resid,late_avg3ms_g__resid_sem,late_avg3ms_g__resid_offset
drran3,drran,trial31,19.92,1.03891,4.23195,1.48127,19.1539,0.00026,0.11016,0.0032535,0.312643,65.07,20.74,4.14,9.04,40,1.03891,0.00026,0.0521541,1.30522e-05,-0.00142712,0.00026,1.04034,4.23195,0.11016,0.212447,0.00553012,-4.41914,0.11016,8.65109,1.48127,0.0032535,0.0743609,0.000163328,0.00330147,0.0032535,1.47797,19.1539,0.312643,0.961541,0.0156949,-16.9698,0.312643,36.1237
drran4,drran,trial29,19.92,1.03436,9.09563,1.33738,38.8737,0.00037,0.20901,0.000552093,0.104214,76.5,27.82,3.83,8.35,40,1.03436,0.00037,0.0519257,1.85743e-05,-0.00597712,0.00037,1.04034,9.09563,0.20901,0.456608,0.0104925,0.444543,0.20901,8.65109,1.33738,0.000552093,0.0671376,2.77155e-05,-0.140589,0.000552093,1.47797,38.8737,0.104214,1.95149,0.00523163,2.74996,0.104214,36.1237
drran5,drran,trial28,19.88,1.03733,4.96849,1.57749,13.3197,0.00053,0.13705,0.00322159,0.445487,55.75,23.23,5.11,5.58,40,1.03733,0.00053,0.0521796,2.666e-05,-0.00260339,0.00053,1.03993,4.96849,0.13705,0.249924,0.00689386,-3.68958,0.13705,8.65807,1.57749,0.00322159,0.0793506,0.000162052,0.101245,0.00322159,1.47625,13.3197,0.445487,0.670005,0.0224088,-22.6906,0.445487,36.0103
drran6,drran,trial34,19.24,1.04708,4.7661,1.51093,22.5338,0.00088,0.12009,0.00176844,0.241922,52.14,21.72,4.78,8.81,40,1.04708,0.00088,0.054422,4.5738e-05,0.0136063,0.00088,1.03347,4.7661,0.12009,0.247718,0.00624168,-4.00367,0.12009,8.76977,1.51093,0.00176844,0.0785307,9.19148e-05,0.0622556,0.00176844,1.44867,22.5338,0.241922,1.1712,0.0125739,-11.6618,0.241922,34.1956
drran7,drran,trial32,20.06,1.25129,8.17106,2.47064,48.5889,0.00215,0.20147,0.0182742,1.58499,60.57,29.89,4.11,8.1,40,1.25129,0.00215,0.0623774,0.000107178,0.20954,0.00215,1.04175,8.17106,0.20147,0.407331,0.0100434,-0.455593,0.20147,8.62665,2.47064,0.0182742,0.123163,0.000910977,0.98664,0.0182742,1.484,48.5889,1.58499,2.42218,0.0790125,12.0682,1.58499,36.5207
drran8,drran,trial35,19.32,0.98044,11.2213,1.28984,35.5889,0.00114,0.64617,0.00135928,0.222028,60.82,25.34,3.04,9.02,61.5445,0.98044,0.00114,0.0507474,5.90062e-05,-0.0538411,0.00114,1.03428,11.2213,0.64617,0.580811,0.0334457,2.46546,0.64617,8.75581,1.28984,0.00135928,0.0667619,7.03561e-05,-0.162281,0.00135928,1.45212,35.5889,0.222028,1.84208,0.0114921,1.16642,0.222028,34.4225
drran9,drran,trial30,19.34,1.04249,5.2013,1.50671,13.742,0.00021,0.12435,0.00221346,0.381997,55.21,23.01,5.06,5.52,40,1.04249,0.00021,0.0539033,1.08583e-05,0.00800699,0.00021,1.03448,5.2013,0.12435,0.26894,0.00642968,-3.55102,0.12435,8.75232,1.50671,0.00221346,0.0779064,0.00011445,0.0537276,0.00221346,1.45298,13.742,0.381997,0.710548,0.0197517,-20.7372,0.381997,34.4792
r2d2c1,r2d2c,trial13,19.38,0.99415,5.96517,1.53925,66.7716,0.00045,0.1459,0.0022092,0.170892,65.52,27.3,3.28,8.08,80,0.99415,0.00045,0.0512977,2.32198e-05,-0.0407367,0.00045,1.03489,5.96517,0.1459,0.3078,0.00752838,-2.78017,0.1459,8.74534,1.53925,0.0022092,0.0794247,0.000113994,0.0845445,0.0022092,1.45471,66.7716,0.170892,3.44539,0.00881796,32.179,0.170892,34.5926
r2d2c2,r2d2c,trial12,17.96,1.04107,5.62455,1.39074,31.3748,0.00336,0.1506,0.00273254,0.615643,53.91,22.46,2.7,10.78,40,1.04107,0.00336,0.057966,0.000187082,0.0205157,0.00336,1.02055,5.62455,0.1506,0.313171,0.0083853,-3.36862,0.1506,8.99317,1.39074,0.00273254,0.0774354,0.000152146,-0.00279247,0.00273254,1.39353,31.3748,0.615643,1.74693,0.0342786,0.808511,0.615643,30.5663
r2d2c3,r2d2c,trial16,18.63,1.33365,5.59153,1.91396,60.2513,0.00254,0.13816,0.00660615,0.861508,48.17,20.07,4.42,9.63,80,1.33365,0.00254,0.0715862,0.000136339,0.306333,0.00254,1.02732,5.59153,0.13816,0.300136,0.007416,-3.2847,0.13816,8.87623,1.91396,0.00660615,0.102735,0.000354597,0.491564,0.00660615,1.4224,60.2513,0.861508,3.2341,0.046243,27.7853,0.861508,32.466
r2d2c4,r2d2c,trial11,19.33,1.18468,6.443,1.71456,34.1969,0.00166,0.15283,0.00146933,0.0734378,45.19,30.12,4.14,9.04,80,1.18468,0.00166,0.0612871,8.58769e-05,0.150298,0.00166,1.03438,6.443,0.15283,0.333316,0.00790636,-2.31106,0.15283,8.75406,1.71456,0.00146933,0.0886994,7.60129e-05,0.262008,0.00146933,1.45255,34.1969,0.0734378,1.76911,0.00379916,-0.253934,0.0734378,34.4508
r2d2c5,r2d2c,trial18,23.47,1.15155,6.70613,1.78833,44.1354,0.00087,0.1318,0.00405675,0.407019,60.14,25.06,5.51,6.01,80,1.15155,0.00087,0.0490648,3.70686e-05,0.0753817,0.00087,1.07617,6.70613,0.1318,0.285732,0.00561568,-1.32536,0.1318,8.03149,1.78833,0.00405675,0.0761964,0.000172848,0.157429,0.00405675,1.6309,44.1354,0.407019,1.8805,0.0173421,-2.05413,0.407019,46.1895
r2d2c6,r2d2c,trial14,19.11,1.05485,4.06643,1.40424,16.3632,0.00092,0.0983,0.00277632,0.17716,48.95,20.4,4.49,9.79,40,1.05485,0.00092,0.0551988,4.81423e-05,0.0226884,0.00092,1.03216,4.06643,0.0983,0.212791,0.0051439,-4.72603,0.0983,8.79246,1.40424,0.00277632,0.0734819,0.000145281,-0.038834,0.00277632,1.44307,16.3632,0.17716,0.856264,0.00927054,-17.4638,0.17716,33.827
r2d2c7,r2d2c,trial15,18.51,0.94838,12.1664,1.34505,42.0182,0.00018,0.3006,0.00159583,0.0778279,52.33,34.89,2.62,10.47,40,0.94838,0.00018,0.0512361,9.72447e-06,-0.0777256,0.00018,1.02611,12.1664,0.3006,0.657287,0.0162399,3.2692,0.3006,8.89718,1.34505,0.00159583,0.0726661,8.62145e-05,-0.0721763,0.00159583,1.41723,42.0182,0.0778279,2.27003,0.00420464,9.89242,0.0778279,32.1258
r2d2c8,r2d2c,trial17,19.98,1.07043,7.8926,1.60061,53.7257,0.00247,0.18176,0.00165336,0.873032,74.05,26.93,3.7,8.08,80,1.07043,0.00247,0.0535751,0.000123624,0.0294873,0.00247,1.04094,7.8926,0.18176,0.395025,0.0090971,-0.748015,0.18176,8.64062,1.60061,0.00165336,0.0801106,8.27508e-05,0.120057,0.00165336,1.48055,53.7257,0.873032,2.68897,0.0436953,17.4318,0.873032,36.2939
r2d2c9,r2d2c,trial10,17.91,1.05299,5.84132,1.55639,31.0261,0.00077,0.14923,0.00246895,0.176743,52.67,21.95,2.63,10.53,80,1.05299,0.00077,0.0587934,4.29927e-05,0.0329404,0.00077,1.02005,5.84132,0.14923,0.326149,0.00833222,-3.16058,0.14923,9.0019,1.55639,0.00246895,0.0869006,0.000137853,0.165012,0.00246895,1.39138,31.0261,0.176743,1.73233,0.0098684,0.601582,0.176743,30.4245
6lhxfy,seed,6lhxfy,18.5,0.89308,13.9285,1.12807,78.0172,0.00041,0.34529,0.00188738,0.514607,68.08,28.72,2.55,9.24,77.4,0.89308,0.00041,0.0482746,2.21622e-05,-0.132925,0.00041,1.026,13.9285,0.34529,0.75289,0.0186643,5.02954,0.34529,8.89892,1.12807,0.00188738,0.0609768,0.000102021,-0.288725,0.00188738,1.4168,78.0172,0.514607,4.21715,0.0278166,45.9198,0.514607,32.0974
6nheas,seed,6nheas,21.73,0.99701,13.0704,1.69572,49.8612,0.00032,0.27512,0.000750291,0.150041,65.99,37.89,4.23,6.74,53,0.99701,0.00032,0.0458817,1.47262e-05,-0.061596,0.00032,1.05861,13.0704,0.27512,0.601489,0.0126608,4.73518,0.27512,8.33518,1.69572,0.000750291,0.0780359,3.45279e-05,0.139777,0.000750291,1.55594,49.8612,0.150041,2.29458,0.00690479,8.60532,0.150041,41.2559
9hhbkp,seed,9hhbkp,21.62,1.01834,6.94742,1.5247,55.389,0.00017,0.14748,0.000617692,0.19706,76.16,27.3,4.58,6.7,59.8,1.01834,0.00017,0.0471018,7.86309e-06,-0.0391557,0.00017,1.0575,6.94742,0.14748,0.321342,0.00682146,-1.40696,0.14748,8.35438,1.5247,0.000617692,0.0705227,2.85704e-05,-0.0265039,0.000617692,1.5512,55.389,0.19706,2.56193,0.00911471,14.445,0.19706,40.944
ajhby6,seed,ajhby6,20.53,1.01266,6.09974,1.54285,60.8607,0.00038,0.13724,0.00111805,0.25474,66.53,26.77,4.39,7.63,44.5,1.01266,0.00038,0.0493259,1.85095e-05,-0.033834,0.00038,1.04649,6.09974,0.13724,0.297113,0.00668485,-2.44488,0.13724,8.54462,1.54285,0.00111805,0.075151,5.44593e-05,0.0386029,0.00111805,1.50425,60.8607,0.25474,2.96448,0.0124082,23.0073,0.25474,37.8534
autv5r,seed,autv5r,22.04,1.04043,8.83094,1.36777,71.6162,0.00034,0.18508,0.00197367,0.191305,93.5,36.44,3.67,6.61,47.7,1.04043,0.00034,0.0472064,1.54265e-05,-0.0213049,0.00034,1.06173,8.83094,0.18508,0.400678,0.00839746,0.549863,0.18508,8.28108,1.36777,0.00197367,0.0620585,8.95495e-05,-0.201527,0.00197367,1.5693,71.6162,0.191305,3.24937,0.0086799,29.4813,0.191305,42.1349
bag26v,seed,bag26v,21.42,1.06162,7.71451,1.45716,40.7098,0.00051,0.16466,0.00136728,0.118492,104.86,30.17,3.32,6.45,63.8,1.06162,0.00051,0.0495621,2.38095e-05,0.00614295,0.00051,1.05548,7.71451,0.16466,0.360155,0.00768721,-0.674778,0.16466,8.38929,1.45716,0.00136728,0.068028,6.38319e-05,-0.085428,0.00136728,1.54259,40.7098,0.118492,1.90055,0.00553184,0.332909,0.118492,40.3769
bpx68c,seed,bpx68c,20.23,1.01107,6.18044,1.2973,49.0477,0.00023,0.13997,0.000480613,0.430479,80.77,28.85,3.46,6.92,60,1.01107,0.00023,0.0499787,1.13693e-05,-0.032396,0.00023,1.04347,6.18044,0.13997,0.305509,0.00691893,-2.41654,0.13997,8.59698,1.2973,0.000480613,0.0641275,2.37574e-05,-0.194023,0.000480613,1.49132,49.0477,0.430479,2.4245,0.0212792,12.045,0.430479,37.0027
nvxsrv,seed,nvxsrv,20.66,1.02755,8.20205,1.37688,38.2645,0.00044,0.18474,0.0010737,0.487586,85.68,22.72,3.7,7.64,70.4,1.02755,0.00044,0.0497362,2.12972e-05,-0.0202562,0.00044,1.04781,8.20205,0.18474,0.397001,0.00894192,-0.319883,0.18474,8.52193,1.37688,0.0010737,0.0666447,5.197e-05,-0.132967,0.0010737,1.50985,38.2645,0.487586,1.85211,0.0236005,0.042539,0.487586,38.222
